gauge_id,cluster
camelsch_2415,2
camels_01139800,0
camelsch_2139,1
camels_01596500,4
camelsch_2087,5
camels_06224000,5
camels_01613050,4
camelscl_5421002,7
camelscl_8910001,3
camels_04221000,4
camelsch_2608,9
camels_10249300,1
camelsch_5015,2
camelsch_2414,2
camelscl_1020003,1
camelsch_2247,2
camels_09497980,7
camelscl_8351001,3
camels_06350000,0
camelsch_2430,5
camels_02472000,7
camels_13011900,5
camels_06339100,0
camelsch_5019,0
camelsch_2063,1
camels_07066000,4
camels_06622700,1
camelscl_8130002,3
camels_13235000,1
camels_12025700,2
camelscl_10364001,3
camelsch_5014,2
camelscl_4533002,8
camelsch_2276,5
camelsch_4015,2
camels_03473000,4
camelscl_9437002,3
camels_09066000,1
camelscl_9420001,3
camels_02231000,8
camelsch_3007,6
camelscl_12452001,7
camels_07362100,2
camels_03364500,4
camels_11253310,7
camels_01052500,0
camelscl_10102001,3
camelsch_2268,5
camelsch_2251,6
camelsch_2474,5
camels_07315700,6
camels_12388400,1
camels_02430085,2
camels_03384450,4
camels_06906800,6
camels_11162500,7
camels_06453600,6
camels_01516500,4
camels_04216418,4
camels_10244950,5
camels_02297310,8
camelscl_7339001,3
camelscl_8135002,3
camelscl_7379001,3
camels_05414000,6
camelsch_2161,5
camels_04115265,4
camels_02027000,4
camelsch_2105,5
camels_12144000,4
camels_03338780,4
camels_08202700,9
camels_14316700,2
camelsch_2478,2
camels_02118500,4
camelscl_4520001,7
camels_03592718,2
camels_06447000,6
camels_02027500,4
camelscl_5722001,7
camelsch_2463,1
camels_11476600,2
camels_02065500,4
camels_02310947,8
camels_08079600,9
camelsch_2135,5
camels_03173000,4
camelsch_2029,5
camelsch_2346,5
camels_06477500,6
camels_05057200,0
camels_06921070,4
camelsch_2312,2
camels_02374500,7
camels_02143040,4
camels_10172700,1
camels_04197170,2
camels_01545600,4
camelsch_4008,2
camels_02053800,4
camels_01484100,4
camelsch_2327,5
camels_08109700,2
camelsch_4009,2
camels_12374250,1
camels_02198100,7
camels_07195800,4
camelsch_2450,2
camels_06280300,5
camels_08194200,9
camels_10348850,1
camels_14138870,2
camels_08014500,2
camels_02178400,2
camels_07151500,6
camelsch_2181,6
camels_08013000,2
camels_04213075,2
camels_02472500,7
camelsch_4021,4
camelscl_4523001,7
camelsch_2252,0
camels_06917000,6
camels_03504000,2
camelsch_5030,2
camels_02011460,4
camelscl_7332001,3
camelsch_5009,2
camelscl_3814003,7
camelscl_7115001,7
camels_02464000,7
camels_06468170,0
camelscl_7343001,3
camelsch_2321,1
camels_02245500,8
camels_02481510,7
camelscl_5706001,0
camels_01486000,7
camels_07083000,5
camelscl_12287001,6
camels_08158700,9
camels_13340600,1
camelsch_2170,5
camelsch_2490,2
camels_14303200,2
camels_10310500,4
camels_01639500,4
camels_04122500,4
camels_02056900,4
camels_04015330,0
camelsch_2604,6
camels_06601000,6
camels_02469800,7
camels_12488500,1
camels_11299600,7
camelsch_2417,6
camelsch_3019,5
camels_07291000,7
camelsch_2151,5
camels_03488000,4
camels_06468250,0
camels_05408000,0
camels_02074500,4
camels_10242000,1
camels_05444000,6
camels_01547700,4
camels_12073500,2
camelscl_9404001,3
camels_14139800,2
camelsch_2210,2
camelscl_5401003,6
camels_02011400,4
camels_14305500,2
camels_11482500,2
camels_01121000,4
camels_06934000,4
camelsch_2244,1
camels_12167000,2
camelscl_5746001,3
camels_01451800,2
camels_01532000,4
camels_07301410,4
camels_10259000,7
camels_06043500,1
camelsch_2607,5
camels_02112360,4
camelsch_2374,6
camels_02015700,4
camelsch_2343,4
camelscl_8343001,3
camelscl_7383001,3
camels_05454000,6
camelsch_4017,2
camelscl_9135001,3
camels_07315200,6
camels_01413500,4
camels_11383500,2
camels_06876700,1
camels_05120500,0
camels_05056000,0
camelsch_2160,1
camelscl_10140001,3
camelscl_4513001,7
camels_02465493,7
camels_04256000,0
camels_13240000,1
camels_08198500,9
camels_02112120,4
camelscl_4311001,7
camelscl_5414001,7
camels_06879650,6
camels_09035900,1
camelscl_3806001,0
camels_01487000,4
camels_05412500,6
camels_01620500,4
camels_02361000,7
camelscl_9433001,3
camels_06614800,5
camelsch_2617,5
camels_01466500,4
camels_14222500,2
camels_06450500,6
camels_11141280,7
camels_03187500,4
camels_02430615,2
camels_02140991,4
camelsch_2351,5
camelsch_2256,5
camels_07071500,4
camelsch_4011,2
camelsch_2477,6
camels_12383500,5
camelsch_2125,5
camels_06037500,1
camelscl_1201005,1
camelscl_4523002,7
camels_08380500,1
camelsch_2305,6
camels_08164300,9
camelscl_4726001,7
camels_10234500,1
camelsch_2371,2
camels_08324000,0
camels_03357350,4
