epoch,lr-Adam,step,train_loss,val_loss
,3.732784427259166e-05,0,,
0,,27,,0.08938656002283096
,3.732484754866875e-05,28,,
1,,49,0.0709436759352684,
1,,55,,0.065564826130867
,3.731585869136217e-05,56,,
2,,83,,0.053718578070402145
,3.7300881643481804e-05,84,,
3,,99,0.05380914360284805,
3,,111,,0.04724462330341339
,3.727992297445587e-05,112,,
4,,139,,0.04256552830338478
,3.7252991877449276e-05,140,,
5,,149,0.04568251222372055,
5,,167,,0.03910292312502861
,3.722010016533126e-05,168,,
6,,195,,0.03641724959015846
,3.7181262265493836e-05,196,,
7,,199,0.03685489296913147,
7,,223,,0.03426358476281166
,3.713649521352348e-05,224,,
8,,249,0.029645148664712906,
8,,251,,0.03243059664964676
,3.708581864572875e-05,252,,
9,,279,,0.03096987120807171
,3.702925479052715e-05,280,,
10,,299,0.027580756694078445,
10,,307,,0.029670387506484985
,3.696682845869503e-05,308,,
11,,335,,0.028590472415089607
,3.689856703248474e-05,336,,
12,,349,0.026007289066910744,
12,,363,,0.027618583291769028
,3.682450045361388e-05,364,,
13,,391,,0.02680029347538948
,3.674466121013186e-05,392,,
14,,399,0.023902220651507378,
14,,419,,0.026034146547317505
,3.66590843221696e-05,420,,
15,,447,,0.025367021560668945
,3.656780732657848e-05,448,,
16,,449,0.028641730546951294,
16,,475,,0.024798264726996422
,3.6470870260465506e-05,476,,
17,,499,0.02065429463982582,
17,,503,,0.024268493056297302
,3.636831564363168e-05,504,,
18,,531,,0.023755088448524475
,3.626018845992141e-05,532,,
19,,549,0.020240068435668945,
19,,559,,0.02332526445388794
,3.61465361374911e-05,560,,
20,,587,,0.02289166860282421
,3.602740852800562e-05,588,,
21,,599,0.021179815754294395,
21,,615,,0.022540250793099403
,3.590285788477168e-05,616,,
22,,643,,0.022191252559423447
,3.5772938839817854e-05,644,,
23,,649,0.020170163363218307,
23,,671,,0.021862568333745003
,3.563770837993112e-05,672,,
24,,699,0.018160801380872726,
24,,699,,0.021567456424236298
,3.5497225821660595e-05,700,,
25,,727,,0.021254191175103188
,3.535155278529933e-05,728,,
26,,749,0.017717504873871803,
26,,755,,0.02102315053343773
,3.52007531678556e-05,756,,
27,,783,,0.02079957351088524
,3.50448931150256e-05,784,,
28,,799,0.0193334873765707,
28,,811,,0.020550861954689026
,3.4884040992179716e-05,812,,
29,,839,,0.020432041957974434
,3.471826735437525e-05,840,,
30,,849,0.021484488621354103,
30,,867,,0.020154843106865883
,3.45476449154086e-05,868,,
31,,895,,0.019997283816337585
,3.437224851592064e-05,896,,
32,,899,0.021586138755083084,
32,,923,,0.0198141448199749
,3.419215509056908e-05,924,,
33,,949,0.01780789904296398,
33,,951,,0.019674280658364296
,3.4007443634282415e-05,952,,
34,,979,,0.01953408308327198
,3.381819516761016e-05,980,,
35,,999,0.018437832593917847,
35,,1007,,0.019396686926484108
,3.362449270118451e-05,1008,,
36,,1035,,0.01924845017492771
,3.3426421199309156e-05,1036,,
37,,1049,0.01707196794450283,
37,,1063,,0.019144456833600998
,3.322406754269116e-05,1064,,
38,,1091,,0.019024724140763283
,3.3017520490332155e-05,1092,,
39,,1099,0.01920381560921669,
