epoch,lr-Adam,step,train_loss,val_loss
,3.732784427259166e-05,0,,
0,,49,0.02708974853157997,
0,,99,0.020911315456032753,
0,,105,,0.02519504353404045
,3.732484754866875e-05,106,,
1,,149,0.018076298758387566,
1,,199,0.01656303182244301,
1,,211,,0.019627617672085762
,3.731585869136217e-05,212,,
2,,249,0.014907191507518291,
2,,299,0.013900548219680786,
2,,317,,0.016927694901823997
,3.7300881643481804e-05,318,,
3,,349,0.019150206819176674,
3,,399,0.012502731755375862,
3,,423,,0.015314417891204357
,3.727992297445587e-05,424,,
4,,449,0.01126406341791153,
4,,499,0.01271290797740221,
4,,529,,0.01425385382026434
,3.7252991877449276e-05,530,,
5,,549,0.010790355503559113,
5,,599,0.010770343244075775,
5,,635,,0.013523447327315807
,3.722010016533126e-05,636,,
6,,649,0.010703056119382381,
6,,699,0.009703940711915493,
6,,741,,0.012987474910914898
,3.7181262265493836e-05,742,,
7,,749,0.016518160700798035,
7,,799,0.010156623087823391,
7,,847,,0.012606864795088768
,3.713649521352348e-05,848,,
8,,849,0.009503384120762348,
8,,899,0.008074688725173473,
8,,949,0.00961801316589117,
8,,953,,0.012287803925573826
,3.708581864572875e-05,954,,
9,,999,0.008955854922533035,
9,,1049,0.018531057983636856,
9,,1059,,0.012037386186420918
,3.702925479052715e-05,1060,,
10,,1099,0.008921312168240547,
10,,1149,0.009556712582707405,
10,,1165,,0.01186120044440031
,3.696682845869503e-05,1166,,
11,,1199,0.009107189252972603,
11,,1249,0.008530482649803162,
11,,1271,,0.011714637279510498
,3.689856703248474e-05,1272,,
12,,1299,0.007951805368065834,
12,,1349,0.008468622341752052,
12,,1377,,0.011560605838894844
,3.682450045361388e-05,1378,,
13,,1399,0.007844466716051102,
13,,1449,0.008421867154538631,
13,,1483,,0.011458197608590126
,3.674466121013186e-05,1484,,
14,,1499,0.008036558516323566,
14,,1549,0.006858539767563343,
14,,1589,,0.011425749398767948
,3.66590843221696e-05,1590,,
15,,1599,0.008161232806742191,
15,,1649,0.007781814318150282,
15,,1695,,0.011339162476360798
,3.656780732657848e-05,1696,,
16,,1699,0.009166351519525051,
16,,1749,0.006505043711513281,
16,,1799,0.007982860319316387,
16,,1801,,0.011262028478085995
,3.6470870260465506e-05,1802,,
17,,1849,0.008493389002978802,
17,,1899,0.00813939981162548,
17,,1907,,0.011269909329712391
,3.636831564363168e-05,1908,,
18,,1949,0.007580508477985859,
18,,1999,0.007356646936386824,
18,,2013,,0.011238104663789272
,3.626018845992141e-05,2014,,
19,,2049,0.00726698711514473,
19,,2099,0.013206218369305134,
19,,2119,,0.011224725283682346
,3.61465361374911e-05,2120,,
20,,2149,0.006373140495270491,
20,,2199,0.007369407918304205,
20,,2225,,0.011217406950891018
,3.602740852800562e-05,2226,,
21,,2249,0.007514366414397955,
21,,2299,0.0066781616769731045,
21,,2331,,0.011269373819231987
,3.590285788477168e-05,2332,,
22,,2349,0.00722446758300066,
22,,2399,0.007534749805927277,
22,,2437,,0.011136633343994617
,3.5772938839817854e-05,2438,,
23,,2449,0.007003899198025465,
23,,2499,0.007365875877439976,
23,,2543,,0.011213776655495167
,3.563770837993112e-05,2544,,
24,,2549,0.007577855139970779,
24,,2599,0.006908348295837641,
24,,2649,0.008672053925693035,
24,,2649,,0.011295965872704983
,3.5497225821660595e-05,2650,,
25,,2699,0.006971871014684439,
25,,2749,0.0074928863905370235,
25,,2755,,0.01111451257020235
,3.535155278529933e-05,2756,,
26,,2799,0.006434817798435688,
26,,2849,0.007105211261659861,
26,,2861,,0.011085455305874348
,3.52007531678556e-05,2862,,
27,,2899,0.007457216270267963,
27,,2949,0.007616508286446333,
27,,2967,,0.011459656991064548
,3.50448931150256e-05,2968,,
28,,2999,0.006223276723176241,
28,,3049,0.006403206381946802,
28,,3073,,0.0111757917329669
,3.4884040992179716e-05,3074,,
29,,3099,0.006336030550301075,
29,,3149,0.0070272162556648254,
29,,3179,,0.011264236643910408
,3.471826735437525e-05,3180,,
30,,3199,0.006512552499771118,
30,,3249,0.007425983436405659,
30,,3285,,0.01129742618650198
,3.45476449154086e-05,3286,,
31,,3299,0.006396248936653137,
31,,3349,0.006329370196908712,
31,,3391,,0.01121114194393158
,3.437224851592064e-05,3392,,
32,,3399,0.012324671261012554,
32,,3449,0.006795148830860853,
32,,3497,,0.011483781039714813
,3.419215509056908e-05,3498,,
33,,3499,0.006388434208929539,
33,,3549,0.011037780903279781,
33,,3599,0.006627236492931843,
33,,3603,,0.011638384312391281
,3.4007443634282415e-05,3604,,
34,,3649,0.005868540611118078,
34,,3699,0.016041656956076622,
34,,3709,,0.011415744200348854
,3.381819516761016e-05,3710,,
35,,3749,0.006314411759376526,
35,,3799,0.006987280678004026,
35,,3815,,0.01141088642179966
,3.362449270118451e-05,3816,,
36,,3849,0.006359357386827469,
36,,3899,0.006385774817317724,
36,,3921,,0.011445526033639908
