epoch,lr-Adam,step,train_loss,val_loss
,3.732784427259166e-05,0,,
0,,27,,0.0530187152326107
,3.732484754866875e-05,28,,
1,,49,0.0419481135904789,
1,,55,,0.042474400252103806
,3.731585869136217e-05,56,,
2,,83,,0.03727045655250549
,3.7300881643481804e-05,84,,
3,,99,0.03544116020202637,
3,,111,,0.03364073112607002
,3.727992297445587e-05,112,,
4,,139,,0.030908752232789993
,3.7252991877449276e-05,140,,
5,,149,0.03072785772383213,
5,,167,,0.02877347357571125
,3.722010016533126e-05,168,,
6,,195,,0.027070755138993263
,3.7181262265493836e-05,196,,
7,,199,0.026303768157958984,
7,,223,,0.02566787414252758
,3.713649521352348e-05,224,,
8,,249,0.02230905555188656,
8,,251,,0.024516748264431953
,3.708581864572875e-05,252,,
9,,279,,0.023556223139166832
,3.702925479052715e-05,280,,
10,,299,0.02090352214872837,
10,,307,,0.022713102400302887
,3.696682845869503e-05,308,,
11,,335,,0.022027499973773956
,3.689856703248474e-05,336,,
12,,349,0.01847916468977928,
12,,363,,0.021416854113340378
,3.682450045361388e-05,364,,
13,,391,,0.02092132344841957
,3.674466121013186e-05,392,,
14,,399,0.018165530636906624,
14,,419,,0.020465413108468056
,3.66590843221696e-05,420,,
15,,447,,0.02008749172091484
,3.656780732657848e-05,448,,
16,,449,0.022610429674386978,
16,,475,,0.0197452362626791
,3.6470870260465506e-05,476,,
17,,499,0.016318345442414284,
17,,503,,0.019453341141343117
,3.636831564363168e-05,504,,
18,,531,,0.01917959935963154
,3.626018845992141e-05,532,,
19,,549,0.015646841377019882,
19,,559,,0.018940679728984833
,3.61465361374911e-05,560,,
20,,587,,0.018693970516324043
,3.602740852800562e-05,588,,
21,,599,0.016840839758515358,
21,,615,,0.018476096913218498
,3.590285788477168e-05,616,,
22,,643,,0.018303794786334038
,3.5772938839817854e-05,644,,
23,,649,0.016938893124461174,
23,,671,,0.018114235252141953
,3.563770837993112e-05,672,,
24,,699,0.013915368355810642,
24,,699,,0.017959753051400185
,3.5497225821660595e-05,700,,
25,,727,,0.017811669036746025
,3.535155278529933e-05,728,,
26,,749,0.013993836008012295,
26,,755,,0.017674554139375687
,3.52007531678556e-05,756,,
27,,783,,0.01756005547940731
,3.50448931150256e-05,784,,
28,,799,0.016313692554831505,
28,,811,,0.01742555759847164
,3.4884040992179716e-05,812,,
29,,839,,0.01733526587486267
,3.471826735437525e-05,840,,
30,,849,0.0164067130535841,
30,,867,,0.017209291458129883
,3.45476449154086e-05,868,,
31,,895,,0.01715168170630932
,3.437224851592064e-05,896,,
32,,899,0.016733719035983086,
32,,923,,0.01704370602965355
,3.419215509056908e-05,924,,
33,,949,0.014948795549571514,
33,,951,,0.017009815201163292
,3.4007443634282415e-05,952,,
34,,979,,0.016939284279942513
,3.381819516761016e-05,980,,
35,,999,0.015511656180024147,
35,,1007,,0.016819970682263374
,3.362449270118451e-05,1008,,
36,,1035,,0.016802215948700905
,3.3426421199309156e-05,1036,,
37,,1049,0.01407730020582676,
37,,1063,,0.0167163647711277
,3.322406754269116e-05,1064,,
38,,1091,,0.016686348244547844
,3.3017520490332155e-05,1092,,
39,,1099,0.01603076234459877,
39,,1119,,0.016642825677990913
,3.2806870640595755e-05,1120,,
40,,1147,,0.016588255763053894
,3.25922103914681e-05,1148,,
41,,1149,0.01307663507759571,
41,,1175,,0.016545111313462257
,3.2373633900029036e-05,1176,,
42,,1199,0.012167752720415592,
42,,1203,,0.016494404524564743
,3.215123704115173e-05,1204,,
43,,1231,,0.01646912284195423
,3.192511736544878e-05,1232,,
44,,1249,0.013277383521199226,
44,,1259,,0.016447266563773155
,3.169537405648326e-05,1260,,
45,,1287,,0.016464555636048317
,3.146210788726359e-05,1288,,
46,,1299,0.012900645844638348,
46,,1315,,0.016405092552304268
,3.1225421176041085e-05,1316,,
47,,1343,,0.01641637086868286
,3.098541774142987e-05,1344,,
48,,1349,0.013411751948297024,
48,,1371,,0.01643742062151432
,3.0742202856868556e-05,1372,,
49,,1399,0.01396283321082592,
49,,1399,,0.016399847343564034
,3.049588320444383e-05,1400,,
50,,1427,,0.01642472855746746
,3.0246566828096187e-05,1428,,
51,,1449,0.011007003486156464,
51,,1455,,0.01641746237874031
,2.9994363086228283e-05,1456,,
52,,1483,,0.016360672190785408
,2.9739382603736705e-05,1484,,
53,,1499,0.013827023096382618,
53,,1511,,0.016407303512096405
,2.9481737223488268e-05,1512,,
54,,1539,,0.016406551003456116
,2.9221539957261998e-05,1540,,
55,,1549,0.015252000652253628,
55,,1567,,0.0164234209805727
,2.8958904936178465e-05,1568,,
56,,1595,,0.016448713839054108
,2.869394736063809e-05,1596,,
57,,1599,0.011312211863696575,
57,,1623,,0.016518451273441315
,2.8426783449790423e-05,1624,,
58,,1649,0.012132033705711365,
58,,1651,,0.01647675409913063
,2.8157530390556624e-05,1652,,
59,,1679,,0.016508767381310463
,2.788630628622737e-05,1680,,
60,,1699,0.013298356905579567,
60,,1707,,0.016559844836592674
,2.7613230104658846e-05,1708,,
61,,1735,,0.01646328531205654
,2.7338421626089553e-05,1736,,
62,,1749,0.011882214806973934,
62,,1763,,0.016507891938090324
