epoch,lr-Adam,step,train_loss,val_loss
,3.9714079665166844e-05,0,,
0,,27,,0.09093454480171204
,3.9710821270816684e-05,28,,
1,,49,0.05759444460272789,
1,,55,,0.054366111755371094
,3.970104751700565e-05,56,,
2,,83,,0.04009519889950752
,3.968476269082518e-05,84,,
3,,99,0.03838266804814339,
3,,111,,0.033012889325618744
,3.966197393533826e-05,112,,
4,,139,,0.02915692701935768
,3.963269124644623e-05,140,,
5,,149,0.02958138845860958,
5,,167,,0.026703547686338425
,3.959692746850424e-05,168,,
6,,195,,0.025086814537644386
,3.9554698288687284e-05,196,,
7,,199,0.026254922151565552,
7,,223,,0.02399451471865177
,3.950602223010933e-05,224,,
8,,249,0.02249254658818245,
8,,251,,0.023145191371440887
,3.9450920643698426e-05,252,,
9,,279,,0.022522099316120148
,3.9389417698831495e-05,280,,
10,,299,0.022330233827233315,
10,,307,,0.02198883518576622
,3.9321540372732846e-05,308,,
11,,335,,0.021613482385873795
,3.9247318438641076e-05,336,,
12,,349,0.022500967606902122,
12,,363,,0.02121243067085743
,3.916678445274954e-05,364,,
13,,391,,0.02090713195502758
,3.907997373992611e-05,392,,
14,,399,0.02085781842470169,
14,,419,,0.020610183477401733
,3.8986924378218564e-05,420,,
15,,447,,0.020411700010299683
,3.8887677182152254e-05,448,,
16,,449,0.02381850592792034,
16,,475,,0.02019929699599743
,3.878227568482752e-05,476,,
17,,499,0.018807856366038322,
17,,503,,0.01999722234904766
,3.8670766118824644e-05,504,,
18,,531,,0.019821351394057274
,3.85531973959247e-05,532,,
19,,549,0.020307740196585655,
19,,559,,0.01965060643851757
,3.842962108565523e-05,560,,
20,,587,,0.01952897571027279
,3.830009139267016e-05,588,,
21,,599,0.019595159217715263,
21,,615,,0.019352823495864868
,3.816466513297383e-05,616,,
22,,643,,0.01925603114068508
,3.802340170899961e-05,644,,
23,,649,0.02063141018152237,
23,,671,,0.019142577424645424
,3.7876363083554075e-05,672,,
24,,699,0.015232289209961891,
24,,699,,0.019045859575271606
,3.7723613752638005e-05,700,,
25,,727,,0.018917366862297058
,3.7565220717156354e-05,728,,
26,,749,0.01729697175323963,
26,,755,,0.018833709880709648
,3.740125345352943e-05,756,,
27,,783,,0.018757406622171402
,3.7231783883218213e-05,784,,
28,,799,0.020912956446409225,
28,,811,,0.018633920699357986
,3.705688634117728e-05,812,,
29,,839,,0.01855110563337803
,3.687663754324898e-05,840,,
30,,849,0.019053447991609573,
30,,867,,0.01844308339059353
,3.669111655251336e-05,868,,
31,,895,,0.018342608585953712
,3.650040474460849e-05,896,,
32,,899,0.021952329203486443,
32,,923,,0.018296224996447563
,3.6304585772036396e-05,924,,
33,,949,0.018511636182665825,
33,,951,,0.01821327582001686
,3.610374552747033e-05,952,,
34,,979,,0.018144795671105385
,3.589797210607939e-05,980,,
35,,999,0.01925600878894329,
35,,1007,,0.018062442541122437
,3.568735576688706e-05,1008,,
36,,1035,,0.017980026081204414
,3.547198889318066e-05,1036,,
37,,1049,0.01772991754114628,
37,,1063,,0.017931170761585236
,3.525196595198894e-05,1064,,
38,,1091,,0.017855314537882805
,3.502738345264572e-05,1092,,
39,,1099,0.020589353516697884,
39,,1119,,0.017766250297427177
,3.4798339904457744e-05,1120,,
40,,1147,,0.01769985631108284
,3.456493577349521e-05,1148,,
41,,1149,0.017749575898051262,
41,,1175,,0.017637992277741432
,3.4327273438524026e-05,1176,,
42,,1199,0.015055510215461254,
42,,1203,,0.01761649362742901
,3.408545714609913e-05,1204,,
43,,1231,,0.017557155340909958
,3.3839592964838485e-05,1232,,
44,,1249,0.018246516585350037,
44,,1259,,0.01747187227010727
,3.358978873889787e-05,1260,,
45,,1287,,0.017438115552067757
,3.33361540406669e-05,1288,,
46,,1299,0.016549965366721153,
46,,1315,,0.017394034191966057
,3.307880012270692e-05,1316,,
47,,1343,,0.01733597368001938
,3.281783986895197e-05,1344,,
48,,1349,0.016542255878448486,
48,,1371,,0.01729372888803482
,3.2553387745194166e-05,1372,,
49,,1399,0.01850901171565056,
49,,1399,,0.017233606427907944
,3.2285559748875214e-05,1400,,
50,,1427,,0.01717899553477764
,3.20144733582061e-05,1428,,
51,,1449,0.014453381299972534,
51,,1455,,0.01712924614548683
,3.1740247480637265e-05,1456,,
52,,1483,,0.01709968037903309
,3.1463002400701843e-05,1484,,
53,,1499,0.017045697197318077,
53,,1511,,0.017054058611392975
,3.1182859727254944e-05,1512,,
54,,1539,,0.01701657846570015
,3.0899942340131935e-05,1540,,
55,,1549,0.018948307260870934,
55,,1567,,0.01697583869099617
,3.0614374336249324e-05,1568,,
56,,1595,,0.016959713771939278
,3.0326280975171726e-05,1596,,
57,,1599,0.014591862447559834,
57,,1623,,0.01686926558613777
,3.003578862416887e-05,1624,,
58,,1649,0.015321115031838417,
58,,1651,,0.016877522692084312
,2.9743024702786782e-05,1652,,
59,,1679,,0.0168035626411438
,2.9448117626957314e-05,1680,,
60,,1699,0.017555609345436096,
60,,1707,,0.016771908849477768
,2.9151196752670687e-05,1708,,
61,,1735,,0.016701098531484604
,2.88523923192357e-05,1736,,
62,,1749,0.01652754656970501,
62,,1763,,0.016648564487695694
,2.855183539215243e-05,1764,,
63,,1791,,0.016646111384034157
,2.8249657805622608e-05,1792,,
64,,1799,0.0187098179012537,
64,,1819,,0.016627689823508263
,2.7945992104722733e-05,1820,,
65,,1847,,0.016597626730799675
,2.764097148726547e-05,1848,,
66,,1849,0.016227804124355316,
66,,1875,,0.016522163525223732
,2.7334729745374655e-05,1876,,
67,,1899,0.015344399027526379,
67,,1903,,0.016493288800120354
,2.702740120679968e-05,1904,,
68,,1931,,0.01646190881729126
,2.6719120675994858e-05,1932,,
69,,1949,0.015600043348968029,
69,,1959,,0.016465796157717705
,2.6410023374989776e-05,1960,,
70,,1987,,0.016416728496551514
,2.61002448840764e-05,1988,,
71,,1999,0.017041588202118874,
71,,2015,,0.016372080892324448
,2.578992108233913e-05,2016,,
72,,2043,,0.016369450837373734
,2.5479188088053702e-05,2044,,
73,,2049,0.0150949377566576,
73,,2071,,0.016326909884810448
,2.516818219898123e-05,2072,,
74,,2099,0.025247573852539062,
74,,2099,,0.01630144938826561
,2.485703983258351e-05,2100,,
75,,2127,,0.016276268288493156
,2.454589746618579e-05,2128,,
76,,2149,0.0147422319278121,
76,,2155,,0.01624104380607605
,2.4234891577113314e-05,2156,,
77,,2183,,0.016222940757870674
,2.392415858282789e-05,2184,,
78,,2199,0.014987945556640625,
78,,2211,,0.016187965869903564
,2.3613834781090613e-05,2212,,
79,,2239,,0.016148852184414864
,2.330405629017724e-05,2240,,
80,,2249,0.015464270487427711,
80,,2267,,0.016189932823181152
,2.2994958989172148e-05,2268,,
81,,2295,,0.016119619831442833
,2.2686678458367326e-05,2296,,
82,,2299,0.016845034435391426,
82,,2323,,0.016113420948386192
,2.2379349919792344e-05,2324,,
83,,2349,0.013517138548195362,
83,,2351,,0.016093507409095764
,2.2073108177901536e-05,2352,,
84,,2379,,0.01605718582868576
,2.176808756044427e-05,2380,,
85,,2399,0.013407680206000805,
85,,2407,,0.016076991334557533
,2.1464421859544394e-05,2408,,
86,,2435,,0.016019629314541817
,2.1162244273014564e-05,2436,,
87,,2449,0.016280440613627434,
87,,2463,,0.015992233529686928
,2.08616873459313e-05,2464,,
88,,2491,,0.015980485826730728
,2.0562882912496305e-05,2492,,
89,,2499,0.013787935487926006,
89,,2519,,0.01596955768764019
,2.0265962038209685e-05,2520,,
90,,2547,,0.015926599502563477
,1.997105496238021e-05,2548,,
91,,2549,0.014507447369396687,
91,,2575,,0.0159272700548172
,1.9678291040998122e-05,2576,,
92,,2599,0.014433837495744228,
92,,2603,,0.01592932641506195
,1.9387798689995267e-05,2604,,
93,,2631,,0.01589679718017578
,1.909970532891766e-05,2632,,
94,,2649,0.016688888892531395,
94,,2659,,0.01586553454399109
,1.8814137325035044e-05,2660,,
95,,2687,,0.015867453068494797
,1.853121993791204e-05,2688,,
96,,2699,0.014336476102471352,
96,,2715,,0.015832655131816864
,1.8251077264465142e-05,2716,,
97,,2743,,0.015837837010622025
,1.797383218452972e-05,2744,,
98,,2749,0.014666331000626087,
98,,2771,,0.015798430889844894
,1.769960630696087e-05,2772,,
99,,2799,0.01666337624192238,
99,,2799,,0.01578192040324211
,1.742851991629175e-05,2800,,
100,,2827,,0.01575569435954094
,1.7160691919972806e-05,2828,,
101,,2849,0.013689150102436543,
101,,2855,,0.01574733667075634
,1.6896239796215e-05,2856,,
102,,2883,,0.01573626510798931
,1.6635279542460048e-05,2884,,
103,,2899,0.01444063987582922,
103,,2911,,0.015730172395706177
,1.6377925624500065e-05,2912,,
104,,2939,,0.015727244317531586
,1.612429092626909e-05,2940,,
105,,2949,0.012818965129554272,
105,,2967,,0.01572607271373272
,1.5874486700328474e-05,2968,,
106,,2995,,0.01574716717004776
,1.5628622519067823e-05,2996,,
107,,2999,0.013546819798648357,
107,,3023,,0.01570053957402706
