epoch,lr-Adam,step,train_loss,val_loss
,3.9714079665166844e-05,0,,
0,,27,,0.04647409915924072
,3.9710821270816684e-05,28,,
1,,49,0.03423098847270012,
1,,55,,0.03174099326133728
,3.970104751700565e-05,56,,
2,,83,,0.025929845869541168
,3.968476269082518e-05,84,,
3,,99,0.025600943714380264,
3,,111,,0.023036297410726547
,3.966197393533826e-05,112,,
4,,139,,0.021227912977337837
,3.963269124644623e-05,140,,
5,,149,0.02251460961997509,
5,,167,,0.01997748203575611
,3.959692746850424e-05,168,,
6,,195,,0.01907346025109291
,3.9554698288687284e-05,196,,
7,,199,0.020195866003632545,
7,,223,,0.018390947952866554
,3.950602223010933e-05,224,,
8,,249,0.017930883914232254,
8,,251,,0.01786625385284424
,3.9450920643698426e-05,252,,
9,,279,,0.017446909099817276
,3.9389417698831495e-05,280,,
10,,299,0.01745041087269783,
10,,307,,0.017112981528043747
,3.9321540372732846e-05,308,,
11,,335,,0.016833581030368805
,3.9247318438641076e-05,336,,
12,,349,0.017211584374308586,
12,,363,,0.01659390702843666
,3.916678445274954e-05,364,,
13,,391,,0.01638771779835224
,3.907997373992611e-05,392,,
14,,399,0.016144296154379845,
14,,419,,0.016198638826608658
,3.8986924378218564e-05,420,,
15,,447,,0.01603623852133751
,3.8887677182152254e-05,448,,
16,,449,0.020879089832305908,
16,,475,,0.01588723435997963
,3.878227568482752e-05,476,,
17,,499,0.015350925736129284,
17,,503,,0.015751218423247337
,3.8670766118824644e-05,504,,
18,,531,,0.015616758726537228
,3.85531973959247e-05,532,,
19,,549,0.015697788447141647,
19,,559,,0.01550132967531681
,3.842962108565523e-05,560,,
20,,587,,0.015399491414427757
,3.830009139267016e-05,588,,
21,,599,0.01575005054473877,
21,,615,,0.015277995727956295
,3.816466513297383e-05,616,,
22,,643,,0.015188160352408886
,3.802340170899961e-05,644,,
23,,649,0.017625717446208,
23,,671,,0.01508509460836649
,3.7876363083554075e-05,672,,
24,,699,0.013414598070085049,
24,,699,,0.014989529736340046
,3.7723613752638005e-05,700,,
25,,727,,0.014910559169948101
,3.7565220717156354e-05,728,,
26,,749,0.014175205491483212,
26,,755,,0.014820174314081669
,3.740125345352943e-05,756,,
27,,783,,0.014734398573637009
,3.7231783883218213e-05,784,,
28,,799,0.017395365983247757,
28,,811,,0.014660638757050037
,3.705688634117728e-05,812,,
29,,839,,0.01458446029573679
,3.687663754324898e-05,840,,
30,,849,0.015400654636323452,
30,,867,,0.014507757499814034
,3.669111655251336e-05,868,,
31,,895,,0.014441253617405891
,3.650040474460849e-05,896,,
32,,899,0.016954561695456505,
32,,923,,0.014377995394170284
,3.6304585772036396e-05,924,,
33,,949,0.01635918579995632,
33,,951,,0.01430975180119276
,3.610374552747033e-05,952,,
34,,979,,0.014234500005841255
,3.589797210607939e-05,980,,
35,,999,0.016561103984713554,
35,,1007,,0.01418878324329853
,3.568735576688706e-05,1008,,
36,,1035,,0.014120176434516907
,3.547198889318066e-05,1036,,
37,,1049,0.01497944351285696,
37,,1063,,0.014062084257602692
,3.525196595198894e-05,1064,,
38,,1091,,0.0139981210231781
,3.502738345264572e-05,1092,,
39,,1099,0.01717129349708557,
39,,1119,,0.013954143971204758
,3.4798339904457744e-05,1120,,
40,,1147,,0.013910587877035141
,3.456493577349521e-05,1148,,
41,,1149,0.013829492032527924,
41,,1175,,0.013853945769369602
,3.4327273438524026e-05,1176,,
42,,1199,0.013021214865148067,
42,,1203,,0.013803010806441307
,3.408545714609913e-05,1204,,
43,,1231,,0.013760263100266457
,3.3839592964838485e-05,1232,,
44,,1249,0.014345782808959484,
44,,1259,,0.013722370378673077
,3.358978873889787e-05,1260,,
45,,1287,,0.013672348111867905
,3.33361540406669e-05,1288,,
46,,1299,0.013685491867363453,
46,,1315,,0.013634019531309605
,3.307880012270692e-05,1316,,
47,,1343,,0.013593754731118679
,3.281783986895197e-05,1344,,
48,,1349,0.014128021895885468,
48,,1371,,0.013570739887654781
,3.2553387745194166e-05,1372,,
49,,1399,0.01647634617984295,
49,,1399,,0.013526630587875843
,3.2285559748875214e-05,1400,,
50,,1427,,0.013492771424353123
