epoch,lr-Adam,step,train_loss,val_loss
,3.9714079665166844e-05,0,,
0,,49,0.018564799800515175,
0,,99,0.016940226778388023,
0,,105,,0.016560034826397896
,3.9710821270816684e-05,106,,
1,,149,0.012451606802642345,
1,,199,0.012403708882629871,
1,,211,,0.013739749789237976
,3.970104751700565e-05,212,,
2,,249,0.01130391750484705,
2,,299,0.011368608102202415,
2,,317,,0.012619966641068459
,3.968476269082518e-05,318,,
3,,349,0.016867155209183693,
3,,399,0.010772022418677807,
3,,423,,0.011958051472902298
,3.966197393533826e-05,424,,
4,,449,0.009948046877980232,
4,,499,0.011684793047606945,
4,,529,,0.011498183012008667
,3.963269124644623e-05,530,,
5,,549,0.009748626500368118,
5,,599,0.009882442653179169,
5,,635,,0.011122745461761951
,3.959692746850424e-05,636,,
6,,649,0.009831066243350506,
6,,699,0.009031782858073711,
6,,741,,0.010716079734265804
,3.9554698288687284e-05,742,,
7,,749,0.015912240371108055,
7,,799,0.01077364943921566,
7,,847,,0.010434458963572979
,3.950602223010933e-05,848,,
8,,849,0.00887709017843008,
8,,899,0.007973183877766132,
8,,949,0.009269862435758114,
8,,953,,0.010173063725233078
,3.9450920643698426e-05,954,,
9,,999,0.008612144738435745,
9,,1049,0.01772710308432579,
9,,1059,,0.009988660924136639
,3.9389417698831495e-05,1060,,
10,,1099,0.008106337860226631,
10,,1149,0.009088299237191677,
10,,1165,,0.009800724685192108
,3.9321540372732846e-05,1166,,
11,,1199,0.008324732072651386,
11,,1249,0.008212994784116745,
11,,1271,,0.009560545906424522
,3.9247318438641076e-05,1272,,
12,,1299,0.007583917584270239,
12,,1349,0.008509143255650997,
12,,1377,,0.009467541240155697
,3.916678445274954e-05,1378,,
13,,1399,0.007420133333653212,
13,,1449,0.008544891141355038,
13,,1483,,0.009419295005500317
,3.907997373992611e-05,1484,,
14,,1499,0.008256064727902412,
14,,1549,0.006818869616836309,
14,,1589,,0.009259049780666828
,3.8986924378218564e-05,1590,,
15,,1599,0.007919156923890114,
15,,1649,0.00733353802934289,
15,,1695,,0.009067383594810963
,3.8887677182152254e-05,1696,,
16,,1699,0.00869482010602951,
16,,1749,0.006940612103790045,
16,,1799,0.007693871855735779,
16,,1801,,0.009009803645312786
,3.878227568482752e-05,1802,,
17,,1849,0.008906490169465542,
17,,1899,0.008472206071019173,
17,,1907,,0.008879072032868862
,3.8670766118824644e-05,1908,,
18,,1949,0.007486359681934118,
18,,1999,0.007304008584469557,
18,,2013,,0.008831768296658993
,3.85531973959247e-05,2014,,
19,,2049,0.007169777061790228,
19,,2099,0.01345598604530096,
19,,2119,,0.00874900259077549
,3.842962108565523e-05,2120,,
20,,2149,0.005975054111331701,
20,,2199,0.0073301419615745544,
20,,2225,,0.008654089644551277
,3.830009139267016e-05,2226,,
21,,2249,0.00746576813980937,
21,,2299,0.006493092980235815,
21,,2331,,0.008631995879113674
,3.816466513297383e-05,2332,,
22,,2349,0.0072663696482777596,
22,,2399,0.006454030517488718,
22,,2437,,0.008523869328200817
,3.802340170899961e-05,2438,,
23,,2449,0.007922522723674774,
23,,2499,0.007213928736746311,
23,,2543,,0.008487694896757603
,3.7876363083554075e-05,2544,,
24,,2549,0.007710624020546675,
24,,2599,0.006705294828861952,
24,,2649,0.00819435901939869,
24,,2649,,0.008445500396192074
,3.7723613752638005e-05,2650,,
25,,2699,0.007188856136053801,
25,,2749,0.00706922123208642,
25,,2755,,0.00842509139329195
,3.7565220717156354e-05,2756,,
26,,2799,0.0063353427685797215,
26,,2849,0.007155010011047125,
26,,2861,,0.00837731920182705
,3.740125345352943e-05,2862,,
27,,2899,0.007559682708233595,
27,,2949,0.007183401379734278,
27,,2967,,0.008276010863482952
,3.7231783883218213e-05,2968,,
28,,2999,0.005961720831692219,
28,,3049,0.006337360944598913,
28,,3073,,0.008258247748017311
,3.705688634117728e-05,3074,,
29,,3099,0.006225918419659138,
29,,3149,0.007196278776973486,
29,,3179,,0.008225373923778534
,3.687663754324898e-05,3180,,
30,,3199,0.006757424678653479,
30,,3249,0.007624773774296045,
30,,3285,,0.008198215626180172
,3.669111655251336e-05,3286,,
31,,3299,0.00639605987817049,
31,,3349,0.0061310357414186,
31,,3391,,0.008171691559255123
,3.650040474460849e-05,3392,,
32,,3399,0.012729443609714508,
32,,3449,0.007191462907940149,
32,,3497,,0.008138105273246765
,3.6304585772036396e-05,3498,,
33,,3499,0.006538137793540955,
33,,3549,0.01156020350754261,
33,,3599,0.007087490055710077,
33,,3603,,0.008106837049126625
,3.610374552747033e-05,3604,,
34,,3649,0.006268984172493219,
34,,3699,0.01602361910045147,
34,,3709,,0.00809831265360117
,3.589797210607939e-05,3710,,
35,,3749,0.006572317332029343,
35,,3799,0.006750413682311773,
35,,3815,,0.00807378813624382
,3.568735576688706e-05,3816,,
36,,3849,0.006485343910753727,
36,,3899,0.006957484874874353,
36,,3921,,0.008023963309824467
,3.547198889318066e-05,3922,,
37,,3949,0.006158067379146814,
37,,3999,0.006316818296909332,
37,,4027,,0.008053712546825409
,3.525196595198894e-05,4028,,
38,,4049,0.006227008532732725,
38,,4099,0.005861948244273663,
38,,4133,,0.008016430772840977
,3.502738345264572e-05,4134,,
39,,4149,0.0063388715498149395,
39,,4199,0.006024343892931938,
39,,4239,,0.007979042828083038
,3.4798339904457744e-05,4240,,
40,,4249,0.006857431028038263,
40,,4299,0.007702860981225967,
40,,4345,,0.007997933775186539
,3.456493577349521e-05,4346,,
41,,4349,0.006599495653063059,
41,,4399,0.006495233625173569,
41,,4449,0.006352877710014582,
41,,4451,,0.008009867742657661
,3.4327273438524026e-05,4452,,
42,,4499,0.00655182171612978,
42,,4549,0.0062966677360236645,
42,,4557,,0.007947149686515331
,3.408545714609913e-05,4558,,
43,,4599,0.006472324021160603,
43,,4649,0.006470130290836096,
43,,4663,,0.007947047241032124
,3.3839592964838485e-05,4664,,
44,,4699,0.0067769670858979225,
44,,4749,0.006460780743509531,
44,,4769,,0.007891349494457245
,3.358978873889787e-05,4770,,
45,,4799,0.010906072333455086,
45,,4849,0.006355473306030035,
45,,4875,,0.007887318730354309
,3.33361540406669e-05,4876,,
46,,4899,0.006105516105890274,
46,,4949,0.006128698121756315,
46,,4981,,0.00786338560283184
,3.307880012270692e-05,4982,,
47,,4999,0.0066030859015882015,
47,,5049,0.00648975744843483,
47,,5087,,0.007878189906477928
,3.281783986895197e-05,5088,,
48,,5099,0.006385025568306446,
48,,5149,0.005821678787469864,
48,,5193,,0.007881466299295425
,3.2553387745194166e-05,5194,,
49,,5199,0.005891214124858379,
49,,5249,0.006413183640688658,
49,,5299,0.006498102098703384,
49,,5299,,0.007838753052055836
,3.2285559748875214e-05,5300,,
