epoch,lr-Adam,step,train_loss,val_loss
,1.4317854415317564e-05,0,,
0,,49,0.029971688985824585,
0,,99,0.013848644681274891,
0,,105,,0.015384169295430183
,1.4317380926904319e-05,106,,
1,,149,0.013626554980874062,
1,,199,0.013093379326164722,
1,,211,,0.013118290342390537
,1.4315960669352249e-05,212,,
2,,249,0.011895417235791683,
2,,299,0.011260605417191982,
2,,317,,0.012205038219690323
,1.4313594265633259e-05,318,,
3,,349,0.01672445237636566,
3,,399,0.010979815386235714,
3,,423,,0.01156429760158062
,1.431028275373023e-05,424,,
4,,449,0.010080205276608467,
4,,499,0.010923695750534534,
4,,529,,0.011159077286720276
,1.4306027586181726e-05,530,,
5,,549,0.009372956119477749,
5,,599,0.009539499878883362,
5,,635,,0.010898744687438011
,1.4300830629444873e-05,636,,
6,,649,0.009504364803433418,
6,,699,0.00880678091198206,
6,,741,,0.010658036917448044
,1.4294694163076654e-05,742,,
7,,749,0.016254348680377007,
7,,799,0.009962444193661213,
7,,847,,0.010480562224984169
,1.428762087873403e-05,848,,
8,,849,0.009483237750828266,
8,,899,0.007762509863823652,
8,,949,0.008975899778306484,
8,,953,,0.010338648222386837
,1.427961387899329e-05,954,,
9,,999,0.008730416186153889,
9,,1049,0.020564032718539238,
9,,1059,,0.01023363322019577
,1.4270676675989151e-05,1060,,
10,,1099,0.008231225423514843,
10,,1149,0.009602236561477184,
10,,1165,,0.01010693795979023
,1.4260813189874232e-05,1166,,
11,,1199,0.009128727950155735,
11,,1249,0.008109486661851406,
11,,1271,,0.009990323334932327
,1.425002774709953e-05,1272,,
12,,1299,0.0077825188636779785,
12,,1349,0.008672810159623623,
12,,1377,,0.009905842132866383
,1.4238325078516712e-05,1378,,
13,,1399,0.007724098861217499,
13,,1449,0.008788684383034706,
13,,1483,,0.009883304126560688
,1.4225710317302993e-05,1484,,
14,,1499,0.007833687588572502,
14,,1549,0.006929716560989618,
14,,1589,,0.009770935401320457
,1.4212188996709564e-05,1590,,
15,,1599,0.007890294305980206,
15,,1649,0.009708257392048836,
15,,1695,,0.00967243779450655
,1.419776704763452e-05,1696,,
16,,1699,0.011313049122691154,
16,,1749,0.006404396146535873,
16,,1799,0.008001665584743023,
16,,1801,,0.009632444940507412
,1.4182450796021376e-05,1802,,
17,,1849,0.00826415978372097,
17,,1899,0.010066265240311623,
17,,1907,,0.009563326835632324
,1.4166246960084296e-05,1908,,
18,,1949,0.0075869071297347546,
18,,1999,0.0075190323404967785,
18,,2013,,0.009529142640531063
,1.4149162647361263e-05,2014,,
19,,2049,0.007388328202068806,
19,,2099,0.013229061849415302,
19,,2119,,0.009459701366722584
,1.4131205351596483e-05,2120,,
20,,2149,0.006375396158546209,
20,,2199,0.007584476377815008,
20,,2225,,0.009435612708330154
,1.4112382949453369e-05,2226,,
21,,2249,0.007409784942865372,
21,,2299,0.006345618050545454,
21,,2331,,0.009384085424244404
,1.4092703697059587e-05,2332,,
22,,2349,0.006948478519916534,
22,,2399,0.006572833750396967,
22,,2437,,0.00937270000576973
,1.4072176226385644e-05,2438,,
23,,2449,0.007210822310298681,
23,,2499,0.007965113036334515,
23,,2543,,0.009349411353468895
,1.4050809541458614e-05,2544,,
24,,2549,0.007802635431289673,
24,,2599,0.007058972027152777,
24,,2649,0.007185725029557943,
24,,2649,,0.009278987534344196
,1.4028613014412684e-05,2650,,
25,,2699,0.007170015014708042,
25,,2749,0.006910149939358234,
25,,2755,,0.009254989214241505
,1.400559638137822e-05,2756,,
26,,2799,0.006360161583870649,
26,,2849,0.007130836136639118,
26,,2861,,0.009253234602510929
,1.3981769738211176e-05,2862,,
27,,2899,0.007794129196554422,
27,,2949,0.007550370879471302,
27,,2967,,0.009199308231472969
,1.3957143536064723e-05,2968,,
28,,2999,0.006211905740201473,
28,,3049,0.006272775121033192,
28,,3073,,0.009163309819996357
,1.3931728576805025e-05,3074,,
29,,3099,0.006384701933711767,
29,,3149,0.0070488774217665195,
29,,3179,,0.009168228134512901
,1.3905536008273185e-05,3180,,
30,,3199,0.006509967148303986,
30,,3249,0.0073342034593224525,
30,,3285,,0.009121102280914783
,1.3878577319395436e-05,3286,,
31,,3299,0.006543769966810942,
31,,3349,0.0062642828561365604,
31,,3391,,0.00912700966000557
,1.3850864335143712e-05,3392,,
32,,3399,0.012568766251206398,
32,,3449,0.00681914109736681,
32,,3497,,0.009072957560420036
,1.3822409211348828e-05,3498,,
33,,3499,0.00676864106208086,
33,,3549,0.011296912096440792,
33,,3599,0.006822552066296339,
33,,3603,,0.0090670520439744
,1.379322442936853e-05,3604,,
34,,3649,0.0061246659606695175,
34,,3699,0.015864770859479904,
34,,3709,,0.009043583646416664
,1.3763322790612765e-05,3710,,
35,,3749,0.006520445924252272,
35,,3799,0.006414399947971106,
35,,3815,,0.00901404395699501
,1.3732717410928544e-05,3816,,
36,,3849,0.006608949508517981,
36,,3899,0.006755904294550419,
36,,3921,,0.008996949531137943
,1.3701421714846916e-05,3922,,
