epoch,lr-Adam,step,train_loss,val_loss
,1.4317854415317564e-05,0,,
0,,27,,0.05721929669380188
,1.4317380926904319e-05,28,,
1,,49,0.03204375132918358,
1,,55,,0.034801185131073
,1.4315960669352249e-05,56,,
2,,83,,0.027757912874221802
,1.4313594265633259e-05,84,,
3,,99,0.026487965136766434,
3,,111,,0.024087639525532722
,1.431028275373023e-05,112,,
4,,139,,0.02195209637284279
,1.4306027586181726e-05,140,,
5,,149,0.02694389782845974,
5,,167,,0.02050180360674858
,1.4300830629444873e-05,168,,
6,,195,,0.019499151036143303
,1.4294694163076654e-05,196,,
7,,199,0.0243406742811203,
7,,223,,0.01871209219098091
,1.428762087873403e-05,224,,
8,,249,0.018058186396956444,
8,,251,,0.018099065870046616
,1.427961387899329e-05,252,,
9,,279,,0.01763327606022358
,1.4270676675989151e-05,280,,
10,,299,0.017683476209640503,
10,,307,,0.017199724912643433
,1.4260813189874232e-05,308,,
11,,335,,0.01686404086649418
,1.425002774709953e-05,336,,
12,,349,0.019244542345404625,
12,,363,,0.01658831723034382
,1.4238325078516712e-05,364,,
13,,391,,0.01631682738661766
,1.4225710317302993e-05,392,,
14,,399,0.017572425305843353,
14,,419,,0.016058998182415962
,1.4212188996709564e-05,420,,
15,,447,,0.01584351807832718
,1.419776704763452e-05,448,,
16,,449,0.021615764126181602,
16,,475,,0.01566231995820999
,1.4182450796021376e-05,476,,
17,,499,0.017060289159417152,
17,,503,,0.015526277013123035
,1.4166246960084296e-05,504,,
18,,531,,0.015376102179288864
,1.4149162647361263e-05,532,,
19,,549,0.015352939255535603,
19,,559,,0.015227465890347958
,1.4131205351596483e-05,560,,
20,,587,,0.015107816085219383
,1.4112382949453369e-05,588,,
21,,599,0.0171009823679924,
21,,615,,0.014978943392634392
,1.4092703697059587e-05,616,,
22,,643,,0.014857262372970581
,1.4072176226385644e-05,644,,
23,,649,0.01611579768359661,
23,,671,,0.01476020086556673
,1.4050809541458614e-05,672,,
24,,699,0.013380935415625572,
24,,699,,0.014687326736748219
,1.4028613014412684e-05,700,,
25,,727,,0.014645393937826157
,1.400559638137822e-05,728,,
26,,749,0.014115366153419018,
26,,755,,0.014519654214382172
,1.3981769738211176e-05,756,,
27,,783,,0.014472204260528088
,1.3957143536064723e-05,784,,
28,,799,0.015591424889862537,
28,,811,,0.014435800723731518
,1.3931728576805025e-05,812,,
29,,839,,0.014337792992591858
,1.3905536008273185e-05,840,,
30,,849,0.01995999924838543,
30,,867,,0.01427392940968275
,1.3878577319395436e-05,868,,
31,,895,,0.014218898490071297
,1.3850864335143712e-05,896,,
32,,899,0.01695813052356243,
32,,923,,0.014218873344361782
,1.3822409211348828e-05,924,,
33,,949,0.015227369032800198,
33,,951,,0.014181200414896011
,1.379322442936853e-05,952,,
34,,979,,0.014165148138999939
,1.3763322790612765e-05,980,,
35,,999,0.015607756562530994,
35,,1007,,0.014104706235229969
,1.3732717410928544e-05,1008,,
36,,1035,,0.014038830064237118
,1.3701421714846916e-05,1036,,
37,,1049,0.014375492930412292,
37,,1063,,0.01399187557399273
,1.3669449429694517e-05,1064,,
38,,1091,,0.01397891715168953
,1.3636814579572306e-05,1092,,
39,,1099,0.016536956652998924,
39,,1119,,0.013990490697324276
,1.3603531479204139e-05,1120,,
40,,1147,,0.01395475398749113
,1.3569614727657854e-05,1148,,
41,,1149,0.013980305753648281,
41,,1175,,0.013910860754549503
,1.353507920194164e-05,1176,,
42,,1199,0.012388572096824646,
42,,1203,,0.013960326090455055
,1.3499940050478483e-05,1204,,
43,,1231,,0.013913193717598915
,1.3464212686461579e-05,1232,,
44,,1249,0.013877689838409424,
44,,1259,,0.013891221024096012
,1.3427912781093582e-05,1260,,
45,,1287,,0.01387180108577013
,1.3391056256712712e-05,1288,,
46,,1299,0.01322612352669239,
46,,1315,,0.013828026130795479
,1.3353659279808681e-05,1316,,
47,,1343,,0.013830787502229214
,1.331573825393154e-05,1344,,
48,,1349,0.013916382566094398,
48,,1371,,0.013814886100590229
,1.3277309812496543e-05,1372,,
49,,1399,0.01585611328482628,
49,,1399,,0.013815432786941528
,1.3238390811488173e-05,1400,,
50,,1427,,0.013778436928987503
,1.3198998322066556e-05,1428,,
51,,1449,0.01148107647895813,
51,,1455,,0.013776810839772224
,1.3159149623079489e-05,1456,,
52,,1483,,0.013726364821195602
,1.3118862193483359e-05,1484,,
53,,1499,0.014239335432648659,
53,,1511,,0.01373060792684555
,1.3078153704676298e-05,1512,,
54,,1539,,0.013765942305326462
,1.3037042012746927e-05,1540,,
55,,1549,0.016227949410676956,
55,,1567,,0.013706562109291553
,1.2995545150642076e-05,1568,,
56,,1595,,0.013742896728217602
,1.2953681320256953e-05,1596,,
57,,1599,0.012673675082623959,
57,,1623,,0.013714815489947796
,1.2911468884451174e-05,1624,,
58,,1649,0.012610653415322304,
58,,1651,,0.013699459843337536
,1.286892635899422e-05,1652,,
59,,1679,,0.013713499531149864
,1.2826072404443798e-05,1680,,
60,,1699,0.013371129520237446,
60,,1707,,0.013662389479577541
,1.278292581796071e-05,1708,,
61,,1735,,0.01367815863341093
