epoch,lr-Adam,step,train_loss,val_loss
,1.4317854415317564e-05,0,,
0,,49,0.03886352851986885,
0,,99,0.014151004143059254,
0,,105,,0.014905939809978008
,1.4317380926904319e-05,106,,
1,,149,0.013303026556968689,
1,,199,0.011510615237057209,
1,,211,,0.0126706063747406
,1.4315960669352249e-05,212,,
2,,249,0.010687357746064663,
2,,299,0.01047107856720686,
2,,317,,0.011849857866764069
,1.4313594265633259e-05,318,,
3,,349,0.016004443168640137,
3,,399,0.010010229423642159,
3,,423,,0.011301576159894466
,1.431028275373023e-05,424,,
4,,449,0.00955892726778984,
4,,499,0.010998137295246124,
4,,529,,0.010993420146405697
,1.4306027586181726e-05,530,,
5,,549,0.009303356520831585,
5,,599,0.009102001786231995,
5,,635,,0.010718044824898243
,1.4300830629444873e-05,636,,
6,,649,0.009088247083127499,
6,,699,0.008727677166461945,
6,,741,,0.010483967140316963
,1.4294694163076654e-05,742,,
7,,749,0.01570972241461277,
7,,799,0.00956567469984293,
7,,847,,0.010309901088476181
,1.428762087873403e-05,848,,
8,,849,0.008612185716629028,
8,,899,0.007378796581178904,
8,,949,0.00909165758639574,
8,,953,,0.010120665654540062
,1.427961387899329e-05,954,,
9,,999,0.008329009637236595,
9,,1049,0.019158942624926567,
9,,1059,,0.00996016152203083
,1.4270676675989151e-05,1060,,
10,,1099,0.00797776784747839,
10,,1149,0.009101702831685543,
10,,1165,,0.009815302677452564
,1.4260813189874232e-05,1166,,
11,,1199,0.008023740723729134,
11,,1249,0.007926835678517818,
11,,1271,,0.009672950953245163
,1.425002774709953e-05,1272,,
12,,1299,0.007699467241764069,
12,,1349,0.0081382030621171,
12,,1377,,0.009550106711685658
,1.4238325078516712e-05,1378,,
13,,1399,0.007321072276681662,
13,,1449,0.00762586435303092,
13,,1483,,0.009473341517150402
,1.4225710317302993e-05,1484,,
14,,1499,0.007541170809417963,
14,,1549,0.006520078517496586,
14,,1589,,0.009360106661915779
,1.4212188996709564e-05,1590,,
15,,1599,0.007549287285655737,
15,,1649,0.008214700035750866,
15,,1695,,0.009274829179048538
,1.419776704763452e-05,1696,,
16,,1699,0.008270454593002796,
16,,1749,0.00604763999581337,
16,,1799,0.007547931279987097,
16,,1801,,0.009213034994900227
,1.4182450796021376e-05,1802,,
17,,1849,0.007974761538207531,
17,,1899,0.007764986250549555,
17,,1907,,0.009121216833591461
,1.4166246960084296e-05,1908,,
