epoch,lr-Adam,step,train_loss,val_loss
,1.4317854415317564e-05,0,,
0,,27,,0.04717356711626053
,1.4317380926904319e-05,28,,
1,,49,0.028073295950889587,
1,,55,,0.030760083347558975
,1.4315960669352249e-05,56,,
2,,83,,0.024925971403717995
,1.4313594265633259e-05,84,,
3,,99,0.023964622989296913,
3,,111,,0.02191835269331932
,1.431028275373023e-05,112,,
4,,139,,0.0200993362814188
,1.4306027586181726e-05,140,,
5,,149,0.021873315796256065,
5,,167,,0.018881479278206825
,1.4300830629444873e-05,168,,
6,,195,,0.018000179901719093
,1.4294694163076654e-05,196,,
7,,199,0.02049262821674347,
7,,223,,0.01734279654920101
,1.428762087873403e-05,224,,
8,,249,0.01654011942446232,
8,,251,,0.016810519620776176
,1.427961387899329e-05,252,,
9,,279,,0.016385851427912712
,1.4270676675989151e-05,280,,
10,,299,0.016372162848711014,
10,,307,,0.01604119874536991
,1.4260813189874232e-05,308,,
11,,335,,0.015752654522657394
,1.425002774709953e-05,336,,
12,,349,0.01600170135498047,
12,,363,,0.015498739667236805
,1.4238325078516712e-05,364,,
13,,391,,0.015283496119081974
,1.4225710317302993e-05,392,,
14,,399,0.015694133937358856,
14,,419,,0.015097836963832378
,1.4212188996709564e-05,420,,
15,,447,,0.014939469285309315
,1.419776704763452e-05,448,,
16,,449,0.0199578907340765,
16,,475,,0.014779089018702507
,1.4182450796021376e-05,476,,
17,,499,0.01357926893979311,
17,,503,,0.014661588706076145
,1.4166246960084296e-05,504,,
18,,531,,0.014523413963615894
,1.4149162647361263e-05,532,,
19,,549,0.014639451168477535,
19,,559,,0.01441965438425541
,1.4131205351596483e-05,560,,
20,,587,,0.014321652241051197
,1.4112382949453369e-05,588,,
21,,599,0.01512985210865736,
21,,615,,0.014236927963793278
,1.4092703697059587e-05,616,,
22,,643,,0.014133699238300323
,1.4072176226385644e-05,644,,
23,,649,0.01613013632595539,
23,,671,,0.014056921005249023
,1.4050809541458614e-05,672,,
24,,699,0.012616689316928387,
24,,699,,0.013970369473099709
,1.4028613014412684e-05,700,,
25,,727,,0.013910980895161629
,1.400559638137822e-05,728,,
26,,749,0.013373956084251404,
26,,755,,0.013844526372849941
,1.3981769738211176e-05,756,,
27,,783,,0.01377743761986494
,1.3957143536064723e-05,784,,
28,,799,0.015482460148632526,
28,,811,,0.013720275834202766
,1.3931728576805025e-05,812,,
29,,839,,0.013670208863914013
,1.3905536008273185e-05,840,,
30,,849,0.014917879365384579,
30,,867,,0.013630778528749943
,1.3878577319395436e-05,868,,
31,,895,,0.013566150330007076
,1.3850864335143712e-05,896,,
32,,899,0.015661275014281273,
32,,923,,0.013511191122233868
,1.3822409211348828e-05,924,,
33,,949,0.014727833680808544,
33,,951,,0.013474719598889351
,1.379322442936853e-05,952,,
34,,979,,0.013436741195619106
,1.3763322790612765e-05,980,,
35,,999,0.01526903547346592,
35,,1007,,0.01341007836163044
,1.3732717410928544e-05,1008,,
36,,1035,,0.013366952538490295
,1.3701421714846916e-05,1036,,
37,,1049,0.01393862720578909,
37,,1063,,0.013337250798940659
,1.3669449429694517e-05,1064,,
38,,1091,,0.013285927474498749
,1.3636814579572306e-05,1092,,
39,,1099,0.015926199033856392,
39,,1119,,0.013270236551761627
,1.3603531479204139e-05,1120,,
40,,1147,,0.013242983259260654
,1.3569614727657854e-05,1148,,
41,,1149,0.013178566470742226,
