epoch,lr-Adam,step,train_loss,val_loss
,3.653598338744389e-05,0,,
0,,49,0.02691570296883583,
0,,99,0.019023427739739418,
0,,105,,0.022482434287667274
,3.653307349760985e-05,106,,
1,,149,0.015279248356819153,
1,,199,0.013886001892387867,
1,,211,,0.016935985535383224
,3.652434510448157e-05,212,,
2,,249,0.013635131530463696,
2,,299,0.01278134435415268,
2,,317,,0.014908289536833763
,3.650980203662075e-05,318,,
3,,349,0.01775563508272171,
3,,399,0.011987172067165375,
3,,423,,0.013878239318728447
,3.648945067309761e-05,424,,
4,,449,0.011118991300463676,
4,,499,0.011952956207096577,
4,,529,,0.013209392316639423
,3.646329994069281e-05,530,,
5,,549,0.010499964468181133,
5,,599,0.01110012549906969,
5,,635,,0.012810984626412392
,3.643136130998188e-05,636,,
6,,649,0.01029686164110899,
6,,699,0.009212298318743706,
6,,741,,0.012484707869589329
,3.6393648790303825e-05,742,,
7,,749,0.01666472852230072,
7,,799,0.010172124020755291,
7,,847,,0.01226717233657837
,3.635017892361618e-05,848,,
8,,849,0.009626153856515884,
8,,899,0.00854842085391283,
8,,949,0.010268143378198147,
8,,953,,0.011961636133491993
,3.6300970777239175e-05,954,,
9,,999,0.009334397502243519,
9,,1049,0.02151349186897278,
9,,1059,,0.011774282902479172
,3.624604593549215e-05,1060,,
10,,1099,0.008624611422419548,
10,,1149,0.010665524750947952,
10,,1165,,0.011664755642414093
,3.618542849022598e-05,1166,,
11,,1199,0.010523157194256783,
11,,1249,0.008811043575406075,
11,,1271,,0.011618472635746002
,3.611914503025559e-05,1272,,
12,,1299,0.00842228252440691,
12,,1349,0.009015082381665707,
12,,1377,,0.011456301435828209
,3.604722462969721e-05,1378,,
13,,1399,0.008138109929859638,
13,,1449,0.01007125061005354,
13,,1483,,0.011370902881026268
,3.5969698835215506e-05,1484,,
14,,1499,0.008418510667979717,
14,,1549,0.007497458253055811,
14,,1589,,0.011318241246044636
,3.58866016521862e-05,1590,,
15,,1599,0.008709474466741085,
15,,1649,0.010253624990582466,
15,,1695,,0.011183658614754677
,3.579796952978016e-05,1696,,
16,,1699,0.010458454489707947,
16,,1749,0.00704281497746706,
16,,1799,0.008501517586410046,
16,,1801,,0.011112388223409653
,3.5703841344975575e-05,1802,,
17,,1849,0.008751580491662025,
17,,1899,0.011005623266100883,
17,,1907,,0.011156643740832806
,3.560425838550528e-05,1908,,
18,,1949,0.008055088110268116,
18,,1999,0.007659433875232935,
18,,2013,,0.010966713540256023
,3.549926433174654e-05,2014,,
19,,2049,0.007620906922966242,
19,,2099,0.013848580420017242,
19,,2119,,0.011051652953028679
,3.5388905237561425e-05,2120,,
20,,2149,0.006520504597574472,
20,,2199,0.007878579199314117,
20,,2225,,0.010929291136562824
,3.527322951009604e-05,2226,,
21,,2249,0.0076848897151649,
21,,2299,0.007039339747279882,
21,,2331,,0.01096377708017826
,3.5152287888547574e-05,2332,,
22,,2349,0.00721700070425868,
22,,2399,0.007310693152248859,
22,,2437,,0.010955173522233963
,3.5026133421908395e-05,2438,,
23,,2449,0.009075035341084003,
23,,2499,0.007938697002828121,
23,,2543,,0.010875046253204346
,3.489482144569702e-05,2544,,
24,,2549,0.007977910339832306,
24,,2599,0.007597291376441717,
24,,2649,0.00831620767712593,
24,,2649,,0.010835296474397182
,3.4758409557686113e-05,2650,,
25,,2699,0.007721200119704008,
25,,2749,0.0074482993222773075,
25,,2755,,0.010752253234386444
,3.461695759263821e-05,2756,,
26,,2799,0.006352262105792761,
26,,2849,0.007503882050514221,
26,,2861,,0.010909363627433777
,3.447052759606021e-05,2862,,
27,,2899,0.007992150261998177,
27,,2949,0.007857433520257473,
27,,2967,,0.010826891288161278
,3.431918379698817e-05,2968,,
28,,2999,0.006228292360901833,
28,,3049,0.006654695607721806,
28,,3073,,0.010735828429460526
,3.416299257981432e-05,3074,,
29,,3099,0.006524004973471165,
29,,3149,0.007526719477027655,
29,,3179,,0.010638277046382427
,3.400202245516869e-05,3180,,
30,,3199,0.007018897216767073,
30,,3249,0.00778179382905364,
30,,3285,,0.010634603910148144
,3.383634402986805e-05,3286,,
31,,3299,0.006700938101857901,
31,,3349,0.007181830238550901,
31,,3391,,0.010745251551270485
,3.366602997594547e-05,3392,,
32,,3399,0.013088873587548733,
32,,3449,0.007369959261268377,
32,,3497,,0.010836404748260975
,3.349115499877393e-05,3498,,
33,,3499,0.006971260998398066,
33,,3549,0.011441647075116634,
33,,3599,0.006917772348970175,
33,,3603,,0.010802156291902065
,3.331179580429808e-05,3604,,
34,,3649,0.00635468540713191,
34,,3699,0.01764480397105217,
34,,3709,,0.010639401152729988
,3.3128031065388514e-05,3710,,
35,,3749,0.006845475640147924,
35,,3799,0.007023741491138935,
35,,3815,,0.010553955100476742
,3.2939941387333176e-05,3816,,
36,,3849,0.006883002817630768,
36,,3899,0.0069032409228384495,
36,,3921,,0.010867450386285782
,3.27476092724813e-05,3922,,
37,,3949,0.006530176382511854,
37,,3999,0.008668627589941025,
37,,4027,,0.010617049410939217
,3.255111908405509e-05,4028,,
38,,4049,0.006725874729454517,
38,,4099,0.006210751831531525,
38,,4133,,0.010743826627731323
,3.235055700914525e-05,4134,,
39,,4149,0.006449416279792786,
39,,4199,0.006272915285080671,
39,,4239,,0.010655508376657963
,3.214601102090647e-05,4240,,
40,,4249,0.007019292563199997,
40,,4299,0.008009705692529678,
40,,4345,,0.010763226076960564
,3.193757083996951e-05,4346,,
41,,4349,0.006405298598110676,
41,,4399,0.006882556714117527,
41,,4449,0.006882499437779188,
41,,4451,,0.010510201565921307
,3.172532789508673e-05,4452,,
42,,4499,0.006471069063991308,
42,,4549,0.00639305030927062,
42,,4557,,0.01062966138124466
,3.150937528302846e-05,4558,,
43,,4599,0.006766053382307291,
43,,4649,0.007366308476775885,
43,,4663,,0.01049127895385027
,3.128980772774765e-05,4664,,
44,,4699,0.00671915290877223,
44,,4749,0.006468561943620443,
44,,4769,,0.010771547444164753
,3.106672153883081e-05,4770,,
45,,4799,0.011103521101176739,
45,,4849,0.005962401162832975,
45,,4875,,0.010782472789287567
,3.084021456925348e-05,4876,,
46,,4899,0.00608460046350956,
46,,4949,0.006487044971436262,
46,,4981,,0.010649354197084904
,3.061038617245863e-05,4982,,
47,,4999,0.007039697375148535,
47,,5049,0.006335030775517225,
47,,5087,,0.010571280494332314
,3.0377337158776996e-05,5088,,
48,,5099,0.0062605636194348335,
48,,5149,0.005678809247910976,
48,,5193,,0.010686361230909824
,3.014116975120833e-05,5194,,
49,,5199,0.006153853144496679,
49,,5249,0.006728599313646555,
49,,5299,0.0065125529654324055,
49,,5299,,0.010724606923758984
,2.990198754058299e-05,5300,,
50,,5349,0.006310211028903723,
50,,5399,0.005908477585762739,
50,,5405,,0.01060373056679964
,2.96598954401236e-05,5406,,
51,,5449,0.006607903633266687,
51,,5499,0.0067274197936058044,
51,,5511,,0.010752635076642036
,2.9414999639426655e-05,5512,,
52,,5549,0.005961447022855282,
52,,5599,0.00631646066904068,
52,,5617,,0.010626009665429592
,2.9167407557884204e-05,5618,,
53,,5649,0.0065687536261975765,
53,,5699,0.008032201789319515,
53,,5723,,0.010827104561030865
