epoch,lr-Adam,step,train_loss,val_loss
,3.653598338744389e-05,0,,
0,,27,,0.06955012679100037
,3.653307349760985e-05,28,,
1,,49,0.04933793842792511,
1,,55,,0.044661037623882294
,3.652434510448157e-05,56,,
2,,83,,0.03479698300361633
,3.650980203662075e-05,84,,
3,,99,0.03562898561358452,
3,,111,,0.030007604509592056
,3.648945067309761e-05,112,,
4,,139,,0.027292191982269287
,3.646329994069281e-05,140,,
5,,149,0.03031143546104431,
5,,167,,0.0255455132573843
,3.643136130998188e-05,168,,
6,,195,,0.024264318868517876
,3.6393648790303825e-05,196,,
7,,199,0.025958700105547905,
7,,223,,0.023277591913938522
,3.635017892361618e-05,224,,
8,,249,0.021198173984885216,
8,,251,,0.022537685930728912
,3.6300970777239175e-05,252,,
9,,279,,0.022024953737854958
,3.624604593549215e-05,280,,
10,,299,0.020946303382515907,
10,,307,,0.02146761864423752
,3.618542849022598e-05,308,,
11,,335,,0.02105180360376835
,3.611914503025559e-05,336,,
12,,349,0.02105230651795864,
12,,363,,0.020601458847522736
,3.604722462969721e-05,364,,
13,,391,,0.02037683129310608
,3.5969698835215506e-05,392,,
14,,399,0.01932191103696823,
14,,419,,0.01999698393046856
,3.58866016521862e-05,420,,
15,,447,,0.019659526646137238
,3.579796952978016e-05,448,,
16,,449,0.022203795611858368,
16,,475,,0.019488519057631493
,3.5703841344975575e-05,476,,
17,,499,0.016420161351561546,
17,,503,,0.019286802038550377
,3.560425838550528e-05,504,,
18,,531,,0.01910264417529106
,3.549926433174654e-05,532,,
19,,549,0.016899600625038147,
19,,559,,0.018976883962750435
,3.5388905237561425e-05,560,,
20,,587,,0.01890815980732441
,3.527322951009604e-05,588,,
21,,599,0.01818224787712097,
21,,615,,0.018715666607022285
,3.5152287888547574e-05,616,,
22,,643,,0.018633130937814713
,3.5026133421908395e-05,644,,
23,,649,0.017438245937228203,
23,,671,,0.01842636615037918
,3.489482144569702e-05,672,,
24,,699,0.014128136448562145,
24,,699,,0.018348662182688713
,3.4758409557686113e-05,700,,
25,,727,,0.018335873261094093
,3.461695759263821e-05,728,,
26,,749,0.015329536981880665,
26,,755,,0.018161576241254807
,3.447052759606021e-05,756,,
27,,783,,0.01808343082666397
,3.431918379698817e-05,784,,
28,,799,0.017278103157877922,
28,,811,,0.017990395426750183
,3.416299257981432e-05,812,,
29,,839,,0.017967334017157555
,3.400202245516869e-05,840,,
30,,849,0.019880270585417747,
30,,867,,0.01788211055099964
,3.383634402986805e-05,868,,
31,,895,,0.01784070022404194
,3.366602997594547e-05,896,,
32,,899,0.020187608897686005,
32,,923,,0.017790677025914192
,3.349115499877393e-05,924,,
33,,949,0.015493768267333508,
33,,951,,0.017651837319135666
,3.331179580429808e-05,952,,
34,,979,,0.017684875056147575
,3.3128031065388514e-05,980,,
35,,999,0.016118017956614494,
35,,1007,,0.017647860571742058
,3.2939941387333176e-05,1008,,
36,,1035,,0.017477015033364296
,3.27476092724813e-05,1036,,
37,,1049,0.015389526262879372,
37,,1063,,0.017472289502620697
,3.255111908405509e-05,1064,,
38,,1091,,0.017462650313973427
,3.235055700914525e-05,1092,,
39,,1099,0.01784016750752926,
39,,1119,,0.017448790371418
,3.214601102090647e-05,1120,,
40,,1147,,0.0174326803535223
,3.193757083996951e-05,1148,,
41,,1149,0.015458998270332813,
41,,1175,,0.017389630898833275
,3.172532789508673e-05,1176,,
42,,1199,0.013455388136208057,
42,,1203,,0.017285674810409546
,3.150937528302846e-05,1204,,
43,,1231,,0.01725628972053528
,3.128980772774765e-05,1232,,
44,,1249,0.014581210911273956,
44,,1259,,0.017246520146727562
,3.106672153883081e-05,1260,,
45,,1287,,0.017332032322883606
,3.084021456925348e-05,1288,,
46,,1299,0.01383210439234972,
46,,1315,,0.017247574403882027
,3.061038617245863e-05,1316,,
47,,1343,,0.017113709822297096
,3.0377337158776996e-05,1344,,
48,,1349,0.015403530560433865,
48,,1371,,0.01722044125199318
,3.014116975120833e-05,1372,,
49,,1399,0.01652568019926548,
