epoch,lr-Adam,step,train_loss,val_loss
,3.653598338744389e-05,0,,
0,,27,,0.05476212128996849
,3.653307349760985e-05,28,,
1,,49,0.03529958799481392,
1,,55,,0.03252791613340378
,3.652434510448157e-05,56,,
2,,83,,0.02550751529633999
,3.650980203662075e-05,84,,
3,,99,0.027650032192468643,
3,,111,,0.022413138300180435
,3.648945067309761e-05,112,,
4,,139,,0.02067846991121769
,3.646329994069281e-05,140,,
5,,149,0.023597491905093193,
5,,167,,0.019601019099354744
,3.643136130998188e-05,168,,
6,,195,,0.018834788352251053
,3.6393648790303825e-05,196,,
7,,199,0.020650286227464676,
7,,223,,0.018275966867804527
,3.635017892361618e-05,224,,
8,,249,0.017875846475362778,
8,,251,,0.017837082967162132
,3.6300970777239175e-05,252,,
9,,279,,0.017517587170004845
,3.624604593549215e-05,280,,
10,,299,0.017974261194467545,
10,,307,,0.01719440147280693
,3.618542849022598e-05,308,,
11,,335,,0.0169648677110672
,3.611914503025559e-05,336,,
12,,349,0.017842736095190048,
12,,363,,0.016716472804546356
,3.604722462969721e-05,364,,
13,,391,,0.016560137271881104
,3.5969698835215506e-05,392,,
14,,399,0.01684950478374958,
14,,419,,0.016361726447939873
,3.58866016521862e-05,420,,
15,,447,,0.016194142401218414
,3.579796952978016e-05,448,,
16,,449,0.021120578050613403,
16,,475,,0.016069119796156883
,3.5703841344975575e-05,476,,
17,,499,0.015436919406056404,
17,,503,,0.015958139672875404
,3.560425838550528e-05,504,,
18,,531,,0.015868153423070908
,3.549926433174654e-05,532,,
19,,549,0.015057908371090889,
19,,559,,0.015768392011523247
,3.5388905237561425e-05,560,,
20,,587,,0.015678394585847855
,3.527322951009604e-05,588,,
21,,599,0.01674804836511612,
21,,615,,0.015546112321317196
,3.5152287888547574e-05,616,,
22,,643,,0.015502487309277058
,3.5026133421908395e-05,644,,
23,,649,0.016872746869921684,
23,,671,,0.01542067900300026
,3.489482144569702e-05,672,,
24,,699,0.013588299043476582,
24,,699,,0.015343320555984974
,3.4758409557686113e-05,700,,
25,,727,,0.01525758858770132
,3.461695759263821e-05,728,,
26,,749,0.014351538382470608,
26,,755,,0.015171944163739681
,3.447052759606021e-05,756,,
27,,783,,0.0151277557015419
,3.431918379698817e-05,784,,
28,,799,0.01661537028849125,
28,,811,,0.015070191584527493
,3.416299257981432e-05,812,,
29,,839,,0.015027128159999847
,3.400202245516869e-05,840,,
30,,849,0.01616608537733555,
30,,867,,0.014969590120017529
,3.383634402986805e-05,868,,
31,,895,,0.014932476915419102
,3.366602997594547e-05,896,,
32,,899,0.01799965463578701,
32,,923,,0.014936224557459354
,3.349115499877393e-05,924,,
33,,949,0.01510753482580185,
33,,951,,0.014868194237351418
,3.331179580429808e-05,952,,
34,,979,,0.014846742153167725
,3.3128031065388514e-05,980,,
35,,999,0.015808457508683205,
35,,1007,,0.014795174822211266
,3.2939941387333176e-05,1008,,
36,,1035,,0.014768235385417938
,3.27476092724813e-05,1036,,
37,,1049,0.01448938250541687,
37,,1063,,0.014726556837558746
,3.255111908405509e-05,1064,,
38,,1091,,0.014713870361447334
,3.235055700914525e-05,1092,,
39,,1099,0.017059030011296272,
39,,1119,,0.014679498970508575
,3.214601102090647e-05,1120,,
40,,1147,,0.014668907038867474
,3.193757083996951e-05,1148,,
41,,1149,0.01406797207891941,
41,,1175,,0.014648759737610817
,3.172532789508673e-05,1176,,
42,,1199,0.012847947888076305,
42,,1203,,0.0146407475695014
,3.150937528302846e-05,1204,,
43,,1231,,0.014650510624051094
,3.128980772774765e-05,1232,,
44,,1249,0.013951013796031475,
44,,1259,,0.014606171287596226
,3.106672153883081e-05,1260,,
45,,1287,,0.014602459967136383
,3.084021456925348e-05,1288,,
46,,1299,0.013006167486310005,
46,,1315,,0.014589320868253708
,3.061038617245863e-05,1316,,
47,,1343,,0.014506311155855656
,3.0377337158776996e-05,1344,,
48,,1349,0.014073592610657215,
48,,1371,,0.014525895938277245
,3.014116975120833e-05,1372,,
49,,1399,0.015261384658515453,
49,,1399,,0.014492051675915718
,2.990198754058299e-05,1400,,
50,,1427,,0.014488300308585167
,2.96598954401236e-05,1428,,
51,,1449,0.011772358790040016,
51,,1455,,0.01444325689226389
,2.9414999639426655e-05,1456,,
52,,1483,,0.014447509311139584
,2.9167407557884204e-05,1484,,
53,,1499,0.014656740240752697,
53,,1511,,0.014455738477408886
,2.891722779756622e-05,1512,,
54,,1539,,0.01445048302412033
,2.8664570095584085e-05,1540,,
55,,1549,0.016626615077257156,
55,,1567,,0.014396894723176956
,2.840954527595631e-05,1568,,
56,,1595,,0.014385279268026352
,2.8152265200997438e-05,1596,,
57,,1599,0.011819851584732533,
57,,1623,,0.014383436180651188
,2.7892842722251516e-05,1624,,
58,,1649,0.012403921224176884,
58,,1651,,0.014384494163095951
,2.763139163099173e-05,1652,,
59,,1679,,0.014366344548761845
,2.736802660830774e-05,1680,,
60,,1699,0.014178461395204067,
60,,1707,,0.014345559291541576
,2.7102863174802792e-05,1708,,
61,,1735,,0.014298894442617893
,2.6836017639922555e-05,1736,,
62,,1749,0.012880814261734486,
62,,1763,,0.014293686486780643
,2.656760705093795e-05,1764,,
63,,1791,,0.01429319754242897
,2.629774914160437e-05,1792,,
64,,1799,0.015784570947289467,
64,,1819,,0.014292621053755283
,2.602656228051973e-05,1820,,
65,,1847,,0.014265085570514202
,2.575416541920411e-05,1848,,
66,,1849,0.013299698941409588,
66,,1875,,0.014269474893808365
,2.548067803992368e-05,1876,,
67,,1899,0.011948873288929462,
67,,1903,,0.014253426343202591
,2.520622010328184e-05,1904,,
68,,1931,,0.014252688735723495
,2.493091199560052e-05,1932,,
69,,1949,0.012526202015578747,
69,,1959,,0.014259722083806992
,2.4654874476114766e-05,1960,,
70,,1987,,0.014233690686523914
,2.4378228624003744e-05,1988,,
71,,1999,0.014423208311200142,
71,,2015,,0.014276248402893543
,2.410109578528143e-05,2016,,
72,,2043,,0.01426590234041214
,2.382359751957021e-05,2044,,
73,,2049,0.012068959884345531,
73,,2071,,0.01427077129483223
,2.354585554678083e-05,2072,,
74,,2099,0.014572765678167343,
74,,2099,,0.014211480505764484
,2.326799169372201e-05,2100,,
75,,2127,,0.014204459264874458
,2.2990127840663194e-05,2128,,
76,,2149,0.011533565819263458,
76,,2155,,0.014215451665222645
,2.271238586787381e-05,2156,,
77,,2183,,0.014208824373781681
,2.2434887602162592e-05,2184,,
78,,2199,0.01206941343843937,
78,,2211,,0.014202069491147995
,2.2157754763440276e-05,2212,,
79,,2239,,0.014155128970742226
,2.1881108911329258e-05,2240,,
80,,2249,0.011614679358899593,
80,,2267,,0.014200939796864986
,2.16050713918435e-05,2268,,
81,,2295,,0.01421934925019741
,2.1329763284162182e-05,2296,,
82,,2299,0.013805127702653408,
82,,2323,,0.014210723340511322
,2.1055305347520334e-05,2324,,
83,,2349,0.01096801646053791,
83,,2351,,0.014184639789164066
,2.0781817968239904e-05,2352,,
84,,2379,,0.014185856096446514
,2.0509421106924277e-05,2380,,
85,,2399,0.011137006804347038,
85,,2407,,0.014232465997338295
,2.0238234245839636e-05,2408,,
86,,2435,,0.014192462898790836
,1.9968376336506055e-05,2436,,
87,,2449,0.012246263213455677,
87,,2463,,0.01420612446963787
,1.969996574752146e-05,2464,,
88,,2491,,0.014183650724589825
,1.9433120212641214e-05,2492,,
89,,2499,0.010916558094322681,
89,,2519,,0.014190508052706718
