epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,49,0.16526590287685394,
0,,99,0.05766318365931511,
0,,105,,0.05342845246195793
,9.999013075636805e-05,106,,
1,,149,0.02567361108958721,
1,,199,0.021007373929023743,
1,,211,,0.020776310935616493
,9.996052735444863e-05,212,,
2,,249,0.018550561740994453,
2,,299,0.014883073978126049,
2,,317,,0.016336524859070778
,9.991120277927221e-05,318,,
3,,349,0.017964253202080727,
3,,399,0.012303674593567848,
3,,423,,0.014602313749492168
,9.98421786662277e-05,424,,
4,,449,0.012062742374837399,
4,,499,0.012255112640559673,
4,,529,,0.013516269624233246
,9.97534852915723e-05,530,,
5,,549,0.01102090161293745,
5,,599,0.010173753835260868,
5,,635,,0.0127433305606246
,9.964516155915151e-05,636,,
6,,649,0.00997676607221365,
6,,699,0.009017594158649445,
6,,741,,0.012158537283539772
,9.951725498333448e-05,742,,
7,,749,0.016072990372776985,
7,,799,0.00949095655232668,
7,,847,,0.011867559514939785
,9.936982166817273e-05,848,,
8,,849,0.008524284698069096,
8,,899,0.007631674408912659,
8,,949,0.009011696092784405,
8,,953,,0.011439820751547813
,9.920292628279099e-05,954,,
9,,999,0.008060136809945107,
9,,1049,0.018117709085345268,
9,,1059,,0.011418774724006653
,9.901664203302125e-05,1060,,
10,,1099,0.007768428418785334,
10,,1149,0.009968451224267483,
10,,1165,,0.0109650744125247
,9.88110506292922e-05,1166,,
11,,1199,0.007901392877101898,
11,,1249,0.007434040307998657,
11,,1271,,0.010988692753016949
,9.858624225078838e-05,1272,,
12,,1299,0.0072157415561378,
12,,1349,0.007949483580887318,
12,,1377,,0.010748876258730888
,9.83423155058946e-05,1378,,
13,,1399,0.006925232242792845,
13,,1449,0.008059355430305004,
13,,1483,,0.010524630546569824
,9.8079377388943e-05,1484,,
14,,1499,0.006915660109370947,
14,,1549,0.006145053077489138,
14,,1589,,0.010561544448137283
,9.77975432332819e-05,1590,,
15,,1599,0.0071795242838561535,
15,,1649,0.0069771273992955685,
15,,1695,,0.010835033841431141
,9.749693666068664e-05,1696,,
16,,1699,0.008391007781028748,
16,,1749,0.005961582064628601,
16,,1799,0.0072900340892374516,
16,,1801,,0.010561499744653702
,9.71776895271351e-05,1802,,
17,,1849,0.0072990781627595425,
17,,1899,0.007727896329015493,
17,,1907,,0.010800381191074848
,9.68399418649713e-05,1908,,
18,,1949,0.006749777588993311,
18,,1999,0.006705138366669416,
18,,2013,,0.010521595366299152
,9.648384182148251e-05,2014,,
19,,2049,0.006715458817780018,
19,,2099,0.012472736649215221,
19,,2119,,0.010542686097323895
,9.610954559391702e-05,2120,,
20,,2149,0.005545018706470728,
20,,2199,0.006685127504169941,
20,,2225,,0.01036562118679285
,9.571721736097086e-05,2226,,
21,,2249,0.00652772281318903,
21,,2299,0.005671386606991291,
21,,2331,,0.010418909601867199
,9.530702921077356e-05,2332,,
22,,2349,0.006569334771484137,
22,,2399,0.0071676806546747684,
22,,2437,,0.010680986568331718
,9.487916106540464e-05,2438,,
23,,2449,0.006907124072313309,
23,,2499,0.00653758505359292,
23,,2543,,0.010572895407676697
,9.443380060197383e-05,2544,,
24,,2549,0.006973840296268463,
24,,2599,0.006236467510461807,
24,,2649,0.008999360725283623,
24,,2649,,0.010324706323444843
,9.397114317029971e-05,2650,,
25,,2699,0.006365281529724598,
25,,2749,0.007171932142227888,
25,,2755,,0.010529533959925175
,9.349139170722277e-05,2756,,
26,,2799,0.005867961794137955,
26,,2849,0.006131411995738745,
26,,2861,,0.010445770807564259
,9.299475664759065e-05,2862,,
27,,2899,0.006943445187062025,
27,,2949,0.006683743093162775,
27,,2967,,0.010627979412674904
,9.248145583195444e-05,2968,,
28,,2999,0.005338020622730255,
28,,3049,0.005698911380022764,
28,,3073,,0.010717852041125298
,9.195171441101665e-05,3074,,
29,,3099,0.005780041683465242,
29,,3149,0.006206867750734091,
29,,3179,,0.010665684007108212
,9.14057647468726e-05,3180,,
30,,3199,0.005828076507896185,
30,,3249,0.006733694113790989,
30,,3285,,0.01072877086699009
,9.084384631108879e-05,3286,,
31,,3299,0.005746244452893734,
31,,3349,0.005833616945892572,
31,,3391,,0.010939335450530052
,9.026620557966276e-05,3392,,
32,,3399,0.01167261227965355,
32,,3449,0.0059540001675486565,
32,,3497,,0.010830406099557877
,8.967309592491048e-05,3498,,
33,,3499,0.006043058820068836,
33,,3549,0.010621296241879463,
33,,3599,0.005904825869947672,
33,,3603,,0.011075315065681934
,8.9064777504329e-05,3604,,
34,,3649,0.005188734736293554,
34,,3699,0.015319368802011013,
34,,3709,,0.011129118502140045
