epoch,lr-Adam,step,train_loss,val_loss
,0.0009331961068147915,0,,
0,,29,,0.030261872336268425
,0.0009330948707337001,30,,
1,,49,0.021855337545275688,
1,,59,,0.020490875467658043
,0.0009327912068959169,60,,
2,,89,,0.018587861210107803
,0.0009322852484984375,90,,
3,,99,0.016013700515031815,
3,,119,,0.017687799409031868
,0.0009315772174713369,120,,
4,,149,0.01585736870765686,
4,,149,,0.01712213084101677
,0.0009306674243804244,150,,
5,,179,,0.016720157116651535
,0.0009295562682910186,180,,
6,,199,0.013206581585109234,
6,,209,,0.016907574608922005
,0.0009282442365929043,210,,
7,,239,,0.018190504983067513
,0.0009267319047865473,240,,
8,,249,0.011856753379106522,
8,,269,,0.017359625548124313
,0.000925019936230661,270,,
9,,299,0.011155882850289345,
9,,299,,0.018516043201088905
,0.0009231090818512351,300,,
10,,329,,0.018704211339354515
,0.0009210001798121546,330,,
11,,349,0.009862320497632027,
11,,359,,0.017595212906599045
,0.0009186941551475538,360,,
12,,389,,0.017549287527799606
,0.0009161920193560656,390,,
13,,399,0.012564608827233315,
13,,419,,0.018424995243549347
,0.0009134948699571441,420,,
14,,449,0.009558066725730896,
14,,449,,0.019550327211618423
,0.0009106038900096578,450,,
15,,479,,0.01723550446331501
