epoch,lr-Adam,step,train_loss,val_loss
,0.000992851991629171,0,,
0,,49,0.03611455485224724,
0,,99,0.01842614822089672,
0,,105,,0.01900358311831951
,0.0009927442137873984,106,,
1,,149,0.013444773852825165,
1,,199,0.013354788534343243,
1,,211,,0.014841001480817795
,0.000992420927537004,212,,
2,,249,0.012532301247119904,
2,,299,0.011778498068451881,
2,,317,,0.013150069862604141
,0.0009918822746820218,318,,
3,,349,0.016811175271868706,
3,,399,0.01074430625885725,
3,,423,,0.012987454421818256
,0.000991128491493397,424,,
4,,449,0.011050469242036343,
4,,499,0.01149741467088461,
4,,529,,0.012711629271507263
,0.0009901599086053483,530,,
5,,549,0.010240810923278332,
5,,599,0.01045143697410822,
5,,635,,0.011674532666802406
,0.0009889769508703429,636,,
6,,649,0.009746844880282879,
6,,699,0.009482468478381634,
6,,741,,0.01123418752104044
,0.0009875801371727402,742,,
7,,749,0.016143398359417915,
7,,799,0.00991255696862936,
7,,847,,0.010958532802760601
,0.0009859700802011932,848,,
8,,849,0.008673976175487041,
8,,899,0.008410736918449402,
8,,949,0.009397521615028381,
8,,953,,0.01070135086774826
,0.0009841474861799026,954,,
9,,999,0.008835612796247005,
9,,1049,0.023008890450000763,
9,,1059,,0.011306405067443848
,0.0009821131545588433,1060,,
10,,1099,0.008271472528576851,
10,,1149,0.010096475481987,
10,,1165,,0.011033577844500542
,0.0009798679776630995,1166,,
11,,1199,0.009394197724759579,
11,,1249,0.008065777830779552,
11,,1271,,0.010603061877191067
,0.0009774129403014617,1272,,
12,,1299,0.007717809174209833,
12,,1349,0.00864406581968069,
12,,1377,,0.010283268988132477
,0.0009747491193344565,1378,,
13,,1399,0.007991294376552105,
13,,1449,0.010147891007363796,
13,,1483,,0.010107486508786678
,0.0009718776832019998,1484,,
14,,1499,0.007639672141522169,
14,,1549,0.006668553687632084,
14,,1589,,0.010406967252492905
,0.0009687998914108815,1590,,
15,,1599,0.007623417768627405,
15,,1649,0.013180113397538662,
15,,1695,,0.009860068559646606
,0.000965517093982303,1696,,
16,,1699,0.012139382772147655,
16,,1749,0.006526236422359943,
16,,1799,0.007795379962772131,
16,,1801,,0.010011991485953331
,0.0009620307308597138,1802,,
17,,1849,0.008326691575348377,
17,,1899,0.013701207004487514,
17,,1907,,0.009885055013000965
,0.0009583423312772049,1908,,
18,,1949,0.007722973823547363,
18,,1999,0.007115769665688276,
18,,2013,,0.010267684236168861
,0.0009544535130887362,2014,,
19,,2049,0.007061620242893696,
19,,2099,0.013248522765934467,
19,,2119,,0.009900925680994987
,0.0009503659820584915,2120,,
20,,2149,0.006067093461751938,
20,,2199,0.007359679788351059,
20,,2225,,0.010232865810394287
,0.000946081531112675,2226,,
21,,2249,0.007068963255733252,
21,,2299,0.006479330360889435,
21,,2331,,0.009381263516843319
,0.0009416020395530739,2332,,
22,,2349,0.007230107672512531,
22,,2399,0.007503810804337263,
22,,2437,,0.010212979279458523
,0.0009369294722327347,2438,,
23,,2449,0.008996905758976936,
23,,2499,0.007738638203591108,
23,,2543,,0.010244826786220074
,0.000932065878694114,2544,,
24,,2549,0.007793845143169165,
24,,2599,0.006979580502957106,
24,,2649,0.010439727455377579,
24,,2649,,0.00948459655046463
,0.0009270133922700813,2650,,
25,,2699,0.007176697254180908,
25,,2749,0.007616593036800623,
25,,2755,,0.009751738980412483
,0.0009217742291481682,2756,,
26,,2799,0.006163487676531076,
26,,2849,0.0069169774651527405,
26,,2861,,0.00973895937204361
,0.0009163506873984759,2862,,
27,,2899,0.007963341660797596,
27,,2949,0.00736159086227417,
27,,2967,,0.009379840455949306
,0.0009107451459656657,2968,,
28,,2999,0.005799633916467428,
28,,3049,0.00635524233803153,
28,,3073,,0.009718346409499645
,0.0009049600636254748,3074,,
29,,3099,0.006234107073396444,
29,,3149,0.0069773243740201,
29,,3179,,0.00900777243077755
,0.0008989979779062164,3180,,
30,,3199,0.006608182098716497,
30,,3249,0.007332626264542341,
30,,3285,,0.008981621824204922
,0.0008928615039757357,3286,,
31,,3299,0.006478649564087391,
31,,3349,0.006152305286377668,
31,,3391,,0.008848813362419605
,0.0008865533334943112,3392,,
32,,3399,0.012338494881987572,
32,,3449,0.0065825763158500195,
32,,3497,,0.009351424872875214
,0.0008800762334340027,3498,,
33,,3499,0.006684488151222467,
33,,3549,0.011017702519893646,
33,,3599,0.006724657956510782,
33,,3603,,0.008947258815169334
,0.0008734330448649671,3604,,
34,,3649,0.0058095986023545265,
34,,3699,0.01622782275080681,
34,,3709,,0.0088172173127532
,0.0008666266817092701,3710,,
35,,3749,0.006430429872125387,
35,,3799,0.006933038122951984,
35,,3815,,0.009067547507584095
,0.0008596601294627438,3816,,
36,,3849,0.00640036491677165,
36,,3899,0.0061735655181109905,
36,,3921,,0.008891946636140347
,0.0008525364438854508,3922,,
37,,3949,0.005969296675175428,
37,,3999,0.005888302810490131,
37,,4027,,0.008629298768937588
,0.0008452587496613253,4028,,
38,,4049,0.00619159871712327,
38,,4099,0.005768429022282362,
38,,4133,,0.008687366731464863
,0.0008378302390275836,4134,,
39,,4149,0.006435622461140156,
39,,4199,0.005780677776783705,
39,,4239,,0.008360465988516808
,0.0008302541703745045,4240,,
40,,4249,0.006335655692964792,
40,,4299,0.007591508328914642,
40,,4345,,0.008463618345558643
,0.0008225338668161908,4346,,
41,,4349,0.006231001578271389,
41,,4399,0.00609244592487812,
41,,4449,0.006230796221643686,
41,,4451,,0.008344780653715134
