epoch,lr-Adam,step,train_loss,val_loss
,0.000992851991629171,0,,
0,,29,,0.07786775380373001
,0.0009927442137873984,30,,
1,,49,0.04907441511750221,
1,,59,,0.03792760148644447
,0.000992420927537004,60,,
2,,89,,0.026787366718053818
,0.0009918822746820218,90,,
3,,99,0.02562471106648445,
3,,119,,0.02340727671980858
,0.000991128491493397,120,,
4,,149,0.030019860714673996,
4,,149,,0.021913550794124603
,0.0009901599086053483,150,,
5,,179,,0.020672539249062538
,0.0009889769508703429,180,,
6,,199,0.02168399468064308,
6,,209,,0.020078111439943314
,0.0009875801371727402,210,,
7,,239,,0.019521934911608696
,0.0009859700802011932,240,,
8,,249,0.01863359473645687,
8,,269,,0.019728438928723335
,0.0009841474861799026,270,,
9,,299,0.01850084587931633,
9,,299,,0.01875155046582222
,0.0009821131545588433,300,,
10,,329,,0.01856106147170067
,0.0009798679776630995,330,,
11,,349,0.016424907371401787,
11,,359,,0.01798216626048088
,0.0009774129403014617,360,,
12,,389,,0.01817646063864231
,0.0009747491193344565,390,,
13,,399,0.01844479702413082,
13,,419,,0.01770949922502041
,0.0009718776832019998,420,,
14,,449,0.015344405546784401,
14,,449,,0.01754639856517315
,0.0009687998914108815,450,,
15,,479,,0.01719040237367153
,0.000965517093982303,480,,
16,,499,0.016232522204518318,
16,,509,,0.016991127282381058
,0.0009620307308597138,510,,
17,,539,,0.016917981207370758
,0.0009583423312772049,540,,
18,,549,0.014053515158593655,
18,,569,,0.016635484993457794
,0.0009544535130887362,570,,
19,,599,0.01734895072877407,
19,,599,,0.016672492027282715
,0.0009503659820584915,600,,
20,,629,,0.016378020867705345
,0.000946081531112675,630,,
21,,649,0.014927077107131481,
21,,659,,0.016385039314627647
,0.0009416020395530739,660,,
22,,689,,0.016529900953173637
,0.0009369294722327347,690,,
23,,699,0.016308726742863655,
23,,719,,0.0168757401406765
,0.000932065878694114,720,,
24,,749,0.016355982050299644,
24,,749,,0.017052730545401573
,0.0009270133922700813,750,,
25,,779,,0.01623143069446087
,0.0009217742291481682,780,,
26,,799,0.01614074595272541,
26,,809,,0.01636837236583233
,0.0009163506873984759,810,,
27,,839,,0.016157228499650955
,0.0009107451459656657,840,,
28,,849,0.01791316270828247,
28,,869,,0.01611870713531971
,0.0009049600636254748,870,,
29,,899,0.01636757329106331,
29,,899,,0.016104547306895256
,0.0008989979779062164,900,,
30,,929,,0.01581585220992565
,0.0008928615039757357,930,,
31,,949,0.016109319403767586,
31,,959,,0.01598462462425232
,0.0008865533334943112,960,,
32,,989,,0.016101621091365814
,0.0008800762334340027,990,,
33,,999,0.017476923763751984,
33,,1019,,0.0158713236451149
,0.0008734330448649671,1020,,
34,,1049,0.011830851435661316,
34,,1049,,0.016421139240264893
,0.0008666266817092701,1050,,
35,,1079,,0.015394451096653938
,0.0008596601294627438,1080,,
36,,1099,0.01217096857726574,
36,,1109,,0.01564180478453636
,0.0008525364438854508,1110,,
37,,1139,,0.016865691170096397
,0.0008452587496613253,1140,,
38,,1149,0.011977652087807655,
38,,1169,,0.016555532813072205
,0.0008378302390275836,1170,,
39,,1199,0.011589189991354942,
39,,1199,,0.01594010554254055
,0.0008302541703745045,1200,,
40,,1229,,0.015558316372334957
,0.0008225338668161908,1230,,
41,,1249,0.012112152762711048,
41,,1259,,0.01595703512430191
,0.0008146727147329414,1260,,
42,,1289,,0.015576348640024662
,0.0008066741622858734,1290,,
43,,1299,0.010912904515862465,
43,,1319,,0.016118640080094337
,0.0007985417179044449,1320,,
44,,1349,0.012795849703252316,
44,,1349,,0.01659110002219677
,0.0007902789487475413,1350,,
45,,1379,,0.015635637566447258
