epoch,lr-Adam,step,train_loss,val_loss
,0.0003579463603829391,0,,
0,,29,,0.04063596576452255
,0.00035790820518958943,30,,
1,,49,0.03391152247786522,
1,,59,,0.026870237663388252
,0.0003577937563456693,60,,
2,,89,,0.022792216390371323
,0.0003576030640522241,90,,
3,,99,0.02220936492085457,
3,,119,,0.020865587517619133
,0.0003573362119531963,120,,
4,,149,0.021537670865654945,
4,,149,,0.01967797800898552
,0.000356993317098736,150,,
5,,179,,0.018295450136065483
,0.0003565745298938592,180,,
6,,199,0.0166951734572649,
6,,209,,0.017214873805642128
,0.00035608003403247496,210,,
7,,239,,0.016750631853938103
,0.0003555100464168114,240,,
8,,249,0.014918550848960876,
8,,269,,0.01647336222231388
,0.0003548648170622749,270,,
9,,299,0.013903583399951458,
9,,299,,0.01603563316166401
,0.0003541446289877855,300,,
10,,329,,0.016016287729144096
,0.000353349798091635,330,,
11,,349,0.012256129644811153,
11,,359,,0.01600455678999424
,0.000352480673012924,360,,
12,,389,,0.01568019390106201
,0.0003515376349786368,390,,
13,,399,0.014496608637273312,
13,,419,,0.01731143705546856
,0.0003505210976364229,420,,
14,,449,0.011546460911631584,
14,,449,,0.015946408733725548
,0.0003494315068731576,450,,
15,,479,,0.015524346381425858
,0.0003482693406193608,480,,
16,,499,0.01071797963231802,
16,,509,,0.0155114084482193
,0.00034703510863956147,510,,
17,,539,,0.015490840189158916
,0.00034572935230869765,540,,
18,,549,0.009361456148326397,
18,,569,,0.015545548871159554
,0.00034435264437465175,570,,
19,,599,0.010645071044564247,
19,,599,,0.015534546226263046
,0.0003429055887070242,600,,
20,,629,,0.015824198722839355
,0.0003413888200322566,630,,
21,,649,0.0094512440264225,
21,,659,,0.015351521782577038
,0.00033980300365521926,660,,
22,,689,,0.015265108086168766
,0.0003381488351673869,690,,
23,,699,0.010940033942461014,
23,,719,,0.01546202227473259
,0.000336427040141729,720,,
24,,749,0.008003175258636475,
24,,749,,0.01569221168756485
,0.0003346383738144498,750,,
25,,779,,0.016204096376895905
,0.00033278362075371635,780,,
26,,799,0.010344045236706734,
26,,809,,0.015214716084301472
,0.0003308635945155212,810,,
27,,839,,0.01555904746055603
,0.00032887913728683,840,,
28,,849,0.011591466143727303,
28,,869,,0.016170334070920944
,0.00032683111951617005,870,,
29,,899,0.007456398103386164,
29,,899,,0.017156748101115227
,0.0003247204395318233,900,,
30,,929,,0.015752065926790237
,0.0003225480231477894,930,,
31,,949,0.010088811628520489,
31,,959,,0.01571616716682911
,0.0003203148232576935,960,,
32,,989,,0.01603846810758114
,0.0003180218194168153,990,,
33,,999,0.009487860836088657,
33,,1019,,0.015803420916199684
,0.000315670017412424,1020,,
34,,1049,0.0062894332222640514,
34,,1049,,0.015670791268348694
,0.0003132604488226064,1050,,
35,,1079,,0.016096603125333786
,0.0003107941705637829,1080,,
36,,1099,0.006691222079098225,
36,,1109,,0.0153826754540205
