epoch,lr-Adam,step,train_loss,val_loss
,0.0009133995846860973,0,,
0,,29,,0.04538903385400772
,0.0009133005194572277,30,,
1,,49,0.03473560884594917,
1,,59,,0.029938077554106712
,0.0009130033672239021,60,,
2,,89,,0.025606676936149597
,0.0009125082583269112,90,,
3,,99,0.024580445140600204,
3,,119,,0.02461574785411358
,0.0009118154099373807,120,,
4,,149,0.02678406797349453,
4,,149,,0.022554276511073112
,0.000910925125961513,150,,
5,,179,,0.021787766367197037
,0.0009098377969072842,180,,
6,,199,0.018666299059987068,
6,,209,,0.02055409736931324
,0.0009085538997131539,210,,
7,,239,,0.020721405744552612
,0.0009070739975388648,240,,
8,,249,0.016902515664696693,
8,,269,,0.02038944698870182
,0.0009053987395184216,270,,
9,,299,0.01630602404475212,
9,,299,,0.020078331232070923
,0.00090352886047536,300,,
10,,329,,0.020145561546087265
,0.0009014651806004283,330,,
11,,349,0.01464043278247118,
11,,359,,0.018901633098721504
,0.000899208605091825,360,,
12,,389,,0.019090980291366577
,0.0008967601237581487,390,,
13,,399,0.01712709665298462,
13,,419,,0.02015913836658001
,0.0008941208105842351,420,,
14,,449,0.013534871861338615,
14,,449,,0.01931191235780716
,0.000891291823260073,450,,
15,,479,,0.018937276676297188
,0.000888274402673001,480,,
16,,499,0.014131720177829266,
16,,509,,0.018281761556863785
,0.0008850698723634157,510,,
17,,539,,0.018948374316096306
,0.0008816796379442214,540,,
18,,549,0.012019935064017773,
18,,569,,0.019105207175016403
,0.0008781051864842829,570,,
19,,599,0.012848008424043655,
19,,599,,0.01826418749988079
,0.0008743480858561469,600,,
20,,629,,0.018910136073827744
,0.0008704099840483226,630,,
21,,649,0.011781366541981697,
21,,659,,0.018632197752594948
,0.0008662926084424181,660,,
22,,689,,0.018080154433846474
,0.0008619977650554548,690,,
23,,699,0.013445536606013775,
23,,719,,0.01884586364030838
,0.0008575273377476883,720,,
24,,749,0.011710316874086857,
24,,749,,0.019002806395292282
,0.0008528832873962845,750,,
25,,779,,0.018239475786685944
,0.0008480676510352151,780,,
26,,799,0.013727456331253052,
26,,809,,0.018212607130408287
,0.0008430825409617461,810,,
27,,839,,0.017779506742954254
,0.0008379301438099152,840,,
28,,849,0.014761616475880146,
28,,869,,0.017751123756170273
,0.0008326127195914016,870,,
29,,899,0.010067169554531574,
29,,899,,0.01889677904546261
,0.00082713260070421,900,,
30,,929,,0.0177769772708416
,0.0008214921909096038,930,,
31,,949,0.013121838681399822,
31,,959,,0.01781119592487812
,0.0008156939642777366,960,,
32,,989,,0.018626227974891663
,0.0008097404641024419,990,,
33,,999,0.01314939558506012,
33,,1019,,0.018203191459178925
,0.0008036343017856618,1020,,
34,,1049,0.009465179406106472,
34,,1049,,0.01818668842315674
,0.0007973781556919991,1050,,
35,,1079,,0.01835642382502556
,0.0007909747699738976,1080,,
36,,1099,0.009557715617120266,
36,,1109,,0.018589409068226814
,0.0007844269533679676,1110,,
37,,1139,,0.019179610535502434
,0.0007777375779629799,1140,,
38,,1149,0.009050214663147926,
38,,1169,,0.018133174628019333
