trial_id,value,state,duration_seconds,bias,bidirectional_fusion,dropout,future_hidden_size,future_layers,hidden_size,learning_rate,num_layers
0,0.03327284753322601,COMPLETE,2176.845207,True,add,0.36599697090570255,32,2,96,2.9375384576328313e-06,3
1,inf,COMPLETE,2.634435,False,add,0.10616955533913808,96,1,256,8.179499475211674e-06,3
2,0.012050565332174301,COMPLETE,1353.018816,True,concat,0.22803499210851796,96,1,96,3.489018845491386e-05,2
3,0.013065910898149014,COMPLETE,2096.349608,True,average,0.40419867405823057,64,1,256,0.00011290133559092664,3
4,inf,COMPLETE,3.681725,False,concat,0.15585553804470548,128,2,96,3.5856126103453987e-06,2
5,inf,COMPLETE,3.303802,False,average,0.0979914312095726,64,2,256,1.4656553886225336e-05,1
6,0.04014785960316658,COMPLETE,2242.415339,True,average,0.03727532183988541,32,2,64,3.945908811099999e-06,3
7,0.02786172740161419,COMPLETE,1511.968404,True,add,0.05793452976256486,32,1,32,9.833181933644894e-06,2
8,inf,COMPLETE,3.134565,False,concat,0.05979712296915085,128,1,256,4.8287152161792064e-05,2
9,inf,COMPLETE,3.096678,False,concat,0.3182052056318902,32,1,32,0.0005280796376895364,1
10,0.011432620696723461,COMPLETE,1501.772782,True,concat,0.4847685553939329,96,1,160,0.0002362229637420057,2
11,0.011210783384740353,COMPLETE,1551.506349,True,concat,0.49620208167009333,96,1,160,0.00024820762449519944,2
12,0.011106942780315876,COMPLETE,1577.955982,True,concat,0.4833438238095632,96,1,192,0.0007890284807378161,2
13,0.01030739489942789,COMPLETE,823.642316,True,concat,0.49785947308112677,96,1,192,0.0009331961068147915,1
14,0.01059744693338871,COMPLETE,747.098783,True,concat,0.42526386391412035,128,1,192,0.0009136581973831111,1
15,0.010414465330541134,COMPLETE,747.265682,True,concat,0.40664236673885734,128,1,192,0.0007278835094170593,1
16,0.06365713477134705,COMPLETE,744.410923,True,concat,0.2818836582864175,128,1,192,1.1130922167674145e-06,1
17,0.010707729496061802,COMPLETE,759.240985,True,concat,0.42026859586415594,64,2,224,0.0003232158247856444,1
18,0.010595112107694149,COMPLETE,739.012194,True,add,0.34870833656637046,128,1,128,8.974835513193227e-05,1
19,0.010748840868473053,COMPLETE,783.502463,True,average,0.24101664076609142,128,1,224,0.00015846883773599745,1
20,0.010554911568760872,COMPLETE,782.934122,True,concat,0.4400874883323189,96,2,128,0.0003987296279014331,1
21,0.01042760070413351,COMPLETE,735.606688,True,concat,0.44762474643319894,96,2,128,0.0004535010319782827,1
22,0.010522028431296349,COMPLETE,739.298043,True,concat,0.3839962527210562,64,2,160,0.0008968693454213772,1
23,0.010446670465171337,COMPLETE,777.753625,True,concat,0.4513051827451971,96,2,224,0.0004326443791749751,1
24,0.011079519055783749,COMPLETE,761.714207,True,concat,0.3371475796218436,96,2,192,7.044783583274865e-05,1
