trial_id,value,state,duration_seconds,add_relative_index,attn_dropout,dropout,encoder_layers,hidden_continuous_size,hidden_size,learning_rate,lstm_layers,num_attention_heads
0,0.008887996897101402,COMPLETE,910.065189,False,0.21242177333881365,0.3005575058716044,3,112,64,0.0003142880890840109,3,1
1,0.009404756128787994,COMPLETE,726.98374,False,0.08764339456056544,0.06974693032602092,1,80,48,0.0002267398652378039,1,2
2,0.010310664772987366,COMPLETE,778.8193,True,0.24251920443493832,0.4828160165372797,2,128,48,0.00011290133559092664,2,2
3,0.009842890314757824,COMPLETE,1004.683198,False,0.16401308380298388,0.2600340105889054,2,48,80,0.00021154290797261214,1,2
4,0.012626594863831997,COMPLETE,1713.301517,True,0.08140470953216877,0.194338644844741,2,48,128,6.963114377829292e-06,3,1
5,0.03255537897348404,COMPLETE,1016.39891,False,0.21205720315428514,0.4077307142274171,3,16,80,1.6677615430197902e-06,1,2
6,0.029546966776251793,COMPLETE,761.169076,True,0.19126724140656393,0.36480308916903204,3,48,64,2.2844556850020545e-06,1,1
7,0.010044349357485771,COMPLETE,1051.0398,True,0.009428755706020276,0.053945713496652226,2,16,96,3.35515102272148e-05,3,1
8,0.010097688063979149,COMPLETE,1117.820483,False,0.24243611386932507,0.46484882617128653,2,32,128,0.0002576417442523316,1,1
9,0.011777603067457676,COMPLETE,694.703262,True,0.24540442977674792,0.21355389431312816,2,32,48,3.4059785435329935e-05,3,2
10,0.008571585640311241,COMPLETE,661.631975,False,0.2879312237836259,0.28784433025715167,3,128,32,0.000802997272643787,2,4
11,0.008589395321905613,COMPLETE,662.061939,False,0.2899750910007909,0.306602162739614,3,128,32,0.000992521205297338,2,4
12,0.008677301928400993,COMPLETE,649.867994,False,0.2972247974668054,0.13724248664124042,3,96,32,0.0009464863450275671,2,4
13,0.008559959940612316,COMPLETE,668.991973,False,0.29894987729813965,0.318347963953445,3,128,32,0.000992851991629171,2,4
14,0.010989442467689514,COMPLETE,925.200078,False,0.2948369303524199,0.36082637944984775,1,96,32,7.888059868309078e-05,2,8
15,0.008869926445186138,COMPLETE,1171.572418,False,0.12816780754510218,0.16023810517707232,3,112,96,0.0006321024229766998,2,4
16,0.013598130084574223,COMPLETE,912.246027,False,0.2653684736226009,0.27546614443868156,3,128,64,1.0362161015212043e-05,2,4
17,0.009207791648805141,COMPLETE,653.370218,False,0.1520328770615001,0.3738297197613327,3,80,32,0.0004836254047549148,2,4
18,0.01001067366451025,COMPLETE,1140.081815,False,0.26433403553551327,0.32802191721076823,1,112,48,9.22290812789917e-05,3,8
19,0.011255118995904922,COMPLETE,1420.568906,False,0.18978911782869548,0.41904491850337167,3,96,112,1.5008374707933169e-05,2,4
20,0.008841710165143013,COMPLETE,1072.126737,False,0.11527353803706272,0.20929667442741157,2,64,80,0.0004417850457632808,2,4
21,0.008901545777916908,COMPLETE,665.771811,False,0.27991111160280824,0.3101344215715201,3,128,32,0.0009386853122339215,2,4
22,0.008863035589456558,COMPLETE,669.37177,False,0.2692157819442865,0.2506219374228703,3,128,32,0.000826674442706958,2,4
23,0.009987437166273594,COMPLETE,791.766565,False,0.29785299544081345,0.32448369154826506,3,112,48,0.00013171133143615355,2,4
24,0.009158557280898094,COMPLETE,667.273526,False,0.22408419397541196,0.28831035882615336,3,128,32,0.00042610327065678,2,4
