trial_id,value,state,duration_seconds,decoder_output_size,dropout,future_forcing_projection_size,hidden_size,learning_rate,num_decoder_layers,num_encoder_layers,past_feature_projection_size,temporal_decoder_hidden_size,use_layer_norm
0,0.011613152921199799,COMPLETE,210.372911,40,0.10616955533913808,32,128,8.179499475211674e-06,3,4,32,32,False
1,0.014451919123530388,COMPLETE,317.312888,40,0.3037724259507192,32,160,0.0007025166339242157,2,2,64,32,True
2,0.014425501227378845,COMPLETE,328.269148,8,0.2600340105889054,0,256,0.0008105016126411582,2,4,32,96,True
3,0.01484440453350544,COMPLETE,333.151281,40,0.14046725484369038,32,224,0.0002550298070162893,4,4,64,128,True
4,0.03272049501538277,COMPLETE,267.468003,16,0.31164906341377896,64,64,8.569331925053988e-06,4,4,0,16,True
5,0.01689189486205578,COMPLETE,291.979878,64,0.012709563372047594,0,128,8.11392957263784e-05,3,3,32,64,True
6,0.014538148418068886,COMPLETE,296.055062,16,0.43573029509385885,16,128,0.00047607677518095016,4,3,0,64,True
7,0.011561580002307892,COMPLETE,302.572207,24,0.0599326836668414,16,160,9.324140221663498e-06,4,4,64,16,False
8,0.07603418827056885,COMPLETE,277.201566,64,0.13932323211830572,16,160,2.720724805948669e-06,2,3,16,128,True
9,0.017874982208013535,COMPLETE,282.644442,48,0.16039003248586792,64,160,5.924870051994317e-05,1,4,16,112,True
10,0.034511931240558624,COMPLETE,282.423113,24,0.005571968351215532,16,64,1.0887633888418034e-06,3,1,64,16,False
11,0.010788192972540855,COMPLETE,305.417871,32,0.07805459570824749,32,192,1.4547307271298078e-05,3,2,32,48,False
12,0.010972249321639538,COMPLETE,331.810429,24,0.06836950594767129,16,224,1.5610399901222198e-05,4,2,64,48,False
13,0.010278193280100822,COMPLETE,291.867206,32,0.18984866906027525,32,224,2.393289286093944e-05,3,2,32,48,False
14,0.010381531901657581,COMPLETE,292.389418,32,0.20376634249207934,32,224,2.887688257048273e-05,3,1,32,80,False
15,0.010096698999404907,COMPLETE,290.816518,48,0.21062759787948226,32,256,4.105511566070977e-05,1,1,32,80,False
16,0.010146967135369778,COMPLETE,306.55265,56,0.3476019192372247,32,256,9.143844830217156e-05,1,1,32,80,False
17,0.010065047070384026,COMPLETE,302.393557,56,0.40376062541266866,32,256,0.00015834958573990787,1,1,32,96,False
18,0.01010759174823761,COMPLETE,301.648166,56,0.46709930532023647,32,256,0.00018052087232002441,1,1,32,96,False
19,0.010039789602160454,COMPLETE,268.458387,48,0.3999034144763389,64,192,0.00021168244226565575,1,1,16,96,False
20,0.010067638009786606,COMPLETE,271.724513,56,0.3858314408587902,64,192,0.00016952533518499796,2,1,16,112,False
21,0.01008423138409853,COMPLETE,260.792929,56,0.39914168201770633,64,192,0.00020812479192277634,2,1,16,112,False
22,0.010196548886597157,COMPLETE,279.010216,48,0.49970674704384266,64,192,0.00012609994334574254,1,1,16,112,False
23,0.009719964116811752,COMPLETE,290.706004,56,0.39036512593949085,64,192,0.0003579463603829391,1,2,16,96,False
24,0.009966883808374405,COMPLETE,265.030568,64,0.39956096200114294,64,96,0.00040123472264774166,1,2,16,96,False
