trial_id,value,state,duration_seconds,dropout,fusion_method,hidden_size,learning_rate,num_mixing_layers,static_embedding_size
0,0.039254240691661835,COMPLETE,943.480867,0.07799726016810132,add,96,1.493656855461763e-06,8,24
1,0.03956061974167824,COMPLETE,2351.594239,0.41622132040021087,concat,224,4.335281794951567e-06,6,24
2,0.014751757495105267,COMPLETE,263.958058,0.14561457009902096,add,64,6.847920095574779e-05,3,12
3,0.01464352197945118,COMPLETE,345.631289,0.09983689107917987,concat,64,3.489018845491386e-05,4,12
4,0.015355616807937622,COMPLETE,579.359693,0.4744427686266666,add,160,0.0007886714129990489,2,20
5,0.01319898758083582,COMPLETE,1729.390908,0.06101911742238941,add,224,3.058656666978529e-05,4,4
6,0.020604653283953667,COMPLETE,327.394738,0.2600340105889054,add,32,4.366473592979636e-05,8,12
7,0.01292988657951355,COMPLETE,626.898046,0.29894998940554257,add,64,0.0005829384542994739,8,28
8,0.01245055627077818,COMPLETE,191.341071,0.13567451588694796,concat,32,0.0003063462210622083,3,4
9,0.009370217099785805,COMPLETE,444.754341,0.03727532183988541,concat,96,0.0009133995846860973,3,20
10,0.01117345504462719,COMPLETE,1564.058927,0.007283503916976561,concat,160,0.0001583416015155454,6,32
11,0.012931188568472862,COMPLETE,1585.592519,0.004326207421895233,concat,160,0.00017465561885775257,6,32
12,0.010830054990947247,COMPLETE,1176.361272,0.005428327189901841,concat,128,0.00014690995804932984,6,32
13,0.018976811319589615,COMPLETE,944.467157,0.1971244624625454,concat,128,1.1486518462839192e-05,5,20
14,0.011269960552453995,COMPLETE,461.294716,0.3255079015857973,concat,128,0.0009686499007468072,2,28
15,0.01047502364963293,COMPLETE,1636.195276,0.20047798484102197,concat,192,0.00028963574408951564,5,16
16,0.011182508431375027,COMPLETE,2165.005859,0.2011027898617566,concat,256,0.00039180377770775613,4,16
17,0.012248562648892403,COMPLETE,1133.711425,0.39331393588499924,concat,192,0.00027904200939524377,5,16
18,0.013930072076618671,COMPLETE,703.750035,0.20198364044969616,concat,192,8.454465736728857e-05,3,8
19,0.011693278327584267,COMPLETE,592.035774,0.33029962291422915,concat,96,0.00046059944731595913,7,20
20,0.01561342179775238,COMPLETE,909.201555,0.1331445006802418,concat,192,1.2843511908644111e-05,4,24
21,0.011104557663202286,COMPLETE,446.650092,0.04311409161701219,concat,96,0.00014267693274273144,5,28
22,0.01076493039727211,COMPLETE,860.857148,0.0372824804698099,concat,128,0.0001926183952533027,7,16
23,0.011012074537575245,COMPLETE,591.562022,0.09987718131248764,concat,96,0.0002815825930935638,7,16
24,0.010425233282148838,COMPLETE,860.554758,0.17269020445950564,concat,128,0.0008548790382215287,7,16
